species	n_windows	id_obs	id_shuffle	excess	name	vgroup	clade
idacrorbc	2751	70.9	29.4	41.5	Acrocera orbiculus		Invertebrate
idathibis	33	70.6	28.5	42.1	Atherix ibis		Invertebrate
idmacatri	158	70.7	29.4	41.2	Machimus atricapillus		Invertebrate
idhydcyrt	23	70.6	30.2	40.4	Hydrotaea cyrtoneurina		Invertebrate
idpolamen	43	70.7	31.2	39.5	Pollenia amentaria		Invertebrate
idepisucc	174	70.7	30.8	39.8	Epicampocera succincta		Invertebrate
idgymrotn	1696	70.8	28.1	42.7	Gymnosoma rotundatum		Invertebrate
idphymeln	11	70.6	29.4	41.2	Phyto melanocephala		Invertebrate
iilimauri	14	70.6	37.8	32.8	Limnephilus auricula		Invertebrate
iilimmarm	56	70.8	29.4	41.4	Limnephilus marmoratus		Invertebrate
iilimrhom	71	70.6	29.1	41.5	Limnephilus rhombicus		Invertebrate
iilimluna	28	70.6	30.9	39.7	Limnephilus lunatus		Invertebrate
ilpienapi	49	70.6	31.2	39.4	Pieris napi		Invertebrate
tzbugstol	46	70.6	25.6	45.0	Bugulina stolonifera		Invertebrate
tzmemmemb	51	70.7	28.4	42.3	Membranipora membranacea		Invertebrate
wplepclav	66	70.6	27.4	43.2	Lepidonotus clava		Invertebrate
wpalivire	706	70.6	27.8	42.8	Alitta virens		Invertebrate
ocsyccili	279	71.0	31.3	39.7	Sycon ciliatum		Invertebrate
jaricflor	73	70.7	27.2	43.6	Ricordea florida		Invertebrate
eamarglac	23	70.6	33.0	37.6	Marthasterias glacialis		Invertebrate
kaaplturb	87	70.6	27.8	42.8	Aplidium turbinatum		Invertebrate
ftratra	2929	76.3	31.7	44.6	Trachurus trachurus	Fish	Vertebrates
fthualb	13	71.0	31.7	39.4	Thunnus albacares	Fish	Vertebrates
fthumac	30	70.6	28.4	42.2	Thunnus maccoyii	Fish	Vertebrates
bcorhaw	3981	70.7	29.9	40.8	Corvus hawaiiensis	Aves	Vertebrates
bporhoc	24	70.8	27.0	43.9	Porphyrio hochstetteri	Aves	Vertebrates
baccgen	23	70.6	28.6	41.9	Accipiter gentilis	Aves	Vertebrates
bfalper	20	70.6	30.0	40.6	Falco peregrinus	Aves	Vertebrates
bfalbia	781	70.6	30.3	40.4	Falco biarmicus	Aves	Vertebrates
bfalche	759	70.6	30.4	40.2	Falco cherrug	Aves	Vertebrates
blagmut	190	70.8	29.0	41.8	Lagopus muta	Aves	Vertebrates
rviplat	15	70.6	32.5	38.0	Vipera latastei	Reptilia	Vertebrates
melemax	4141	70.6	28.3	42.3	Elephas maximus	Mammalia	Vertebrates
mcanlor	121	71.4	29.9	41.5	Canis lupus	Mammalia	Vertebrates
mmelmel	118	72.8	29.7	43.1	Meles meles	Mammalia	Vertebrates
mcerela	656	70.7	31.1	39.7	Cervus elaphus	Mammalia	Vertebrates
laaliplan	371	70.6	31.3	39.3	Alisma plantago-aquatica		Viridiplantae
lapotnata	2190	73.5	27.6	45.8	Potamogeton natans		Viridiplantae
latrimari	463	71.4	30.0	41.4	Triglochin maritima		Viridiplantae
lsirifoet	377	72.6	29.8	42.8	Iris foetidissima		Viridiplantae
lpleeoryz	12	70.6	27.9	42.6	Leersia oryzoides		Viridiplantae
lpjuneffu	171	70.8	28.7	42.2	Juncus effusus		Viridiplantae
lpjunbufo	228	73.7	31.1	42.6	Juncus bufonius		Viridiplantae
lpjunsqua	232	70.7	28.9	41.8	Juncus squarrosus		Viridiplantae
lpcypfusc	196	71.1	28.5	42.6	Cyperus fuscus		Viridiplantae
lpschlacu	38	70.9	31.9	39.0	Schoenoplectus lacustris		Viridiplantae
lpcardepa	32	70.6	31.6	39.0	Carex depauperata		Viridiplantae
lpluzsylv	17	70.6	33.9	36.7	Luzula sylvatica		Viridiplantae
dmaquvulg	30	70.6	27.5	43.1	Aquilegia vulgaris		Viridiplantae
dcspemari	14	71.0	28.6	42.4	Spergularia marina		Viridiplantae
dcpoltetr	58	70.6	33.2	37.4	Polycarpon tetraphyllum		Viridiplantae
drmedarab	94	70.6	26.8	43.7	Medicago arabica		Viridiplantae
dhcorcolu	47	71.0	28.9	42.1	Corylus colurna		Viridiplantae
drparjuda	1516	70.7	29.8	40.8	Parietaria judaica		Viridiplantae
drpotanse	12	71.6	27.0	44.6	Potentilla anserina		Viridiplantae
ddbarvulg	14	70.6	30.7	39.9	Barbarea vulgaris		Viridiplantae
ddarathal	27	70.6	24.8	45.8	Arabidopsis thaliana		Viridiplantae
ddpopnigr	283	70.6	26.0	44.6	Populus nigra		Viridiplantae
ddeuppepu	16	70.6	29.0	41.5	Euphorbia peplus		Viridiplantae
ddmerannu	25	71.3	30.1	41.2	Mercurialis annua		Viridiplantae
drhedheli	108	70.6	27.8	42.8	Hedera helix		Viridiplantae
ddhotpalu	19	70.6	27.2	43.3	Hottonia palustris		Viridiplantae
daarcminu	55	70.7	32.4	38.3	Arctium minus		Viridiplantae
dascugale	2548	76.0	31.1	44.9	Scutellaria galericulata		Viridiplantae
