species	name	clade	vgroup	n_arrays	Mbp	canonical	canonical_perMbp	canonical_enrich	broad	broad_perMbp	broad_enrich	degenerated	degenerated_perMbp	degenerated_enrich
lpcardepa	Carex depauperata	Viridiplantae		204120	16.47	0	0.0	0.0	2	0.121	0.06	0	0.0	0.0
ihaelacum	Aelia acuminata	Invertebrate		62647	9.22	0	0.0	0.0	1	0.108	0.1	0	0.0	0.0
ihicepurc	Icerya purchasi	Invertebrate		3643	1.21	0	0.0	0.0	1	0.824	0.36	0	0.0	0.0
iyanddors	Andrena dorsata	Invertebrate		1519	0.27	0	0.0	0.0	1	3.724	1.24	0	0.0	0.0
icadabipu	Adalia bipunctata	Invertebrate		79374	14.6	0	0.0	0.0	1	0.069	0.05	0	0.0	0.0
icmalbipu	Malachius bipustulatus	Invertebrate		20075	2.57	0	0.0	0.0	1	0.39	0.04	0	0.0	0.0
iccanrust	Cantharis rustica	Invertebrate		214120	41.18	0	0.0	0.0	1	0.024	0.05	0	0.0	0.0
lpphlprat	Phleum pratense	Viridiplantae		150363	12.46	0	0.0	0.0	1	0.08	0.07	0	0.0	0.0
ddbarvulg	Barbarea vulgaris	Viridiplantae		39724	15.21	0	0.0	0.0	1	0.066	0.02	0	0.0	0.0
qelepcurv	Lepidocyrtus curvicollis	Invertebrate		2766	2.01	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
qeallfusc	Allacma fusca	Invertebrate		21486	3.11	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
ioisceleg	Ischnura elegans	Invertebrate		12570	3.94	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
ieclodipt	Cloeon dipterum	Invertebrate		22835	1.82	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
ieecdtorr	Ecdyonurus torrentis	Invertebrate		40022	8.23	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
ieprobifi	Procloeon bifidum	Invertebrate		11589	2.94	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
iesipalte	Siphlonurus alternatus	Invertebrate		34097	10.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
iupsogibb	Psococerastis gibbosa	Invertebrate		90054	14.95	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
iglabmino	Labia minor	Invertebrate		124337	19.86	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
iymacalbo	Macrophya alboannulata	Invertebrate		23805	3.6	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
iyabicand	Abia candens	Invertebrate		153257	22.22	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
iyectcont	Ectemnius continuus	Invertebrate		194265	28.9	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
iybomhypn	Bombus hypnorum	Invertebrate		163741	6.07	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
iynomfabr	Nomada fabriciana	Invertebrate		38153	3.81	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
iymaceuro	Macropis europaea	Invertebrate		18512	3.26	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
iymimdahl	Mimumesa dahlbomi	Invertebrate		9509	3.25	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
iytipfemo	Tiphia femorata	Invertebrate		7515	1.03	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
iypripert	Priocnemis perturbator	Invertebrate		64585	12.07	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
iyapainim	Apaeleticus inimicus	Invertebrate		32353	10.32	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
iyvulbima	Vulgichneumon bimaculatus	Invertebrate		129810	18.62	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
inchrcarn	Chrysoperla carnea	Invertebrate		13418	2.21	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
icptemadi	Pterostichus madidus	Invertebrate		196235	30.69	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
icagofuli	Agonum fuliginosum	Invertebrate		78628	38.71	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
icnebbrev	Nebria brevicollis	Invertebrate		19128	2.63	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
icnebsali	Nebria salina	Invertebrate		38388	5.12	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
iccarprob	Carabus problematicus	Invertebrate		130427	26.8	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
icocyolen	Ocypus olens	Invertebrate		871960	143.77	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
icsilatra	Phosphuga atrata	Invertebrate		59208	12.08	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
icnicinve	Nicrophorus investigator	Invertebrate		47195	8.45	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
icscaquad	Scaphidium quadrimaculatum	Invertebrate		591420	56.48	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
iccetaura	Cetonia aurata	Invertebrate		25625	4.3	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
iclepmacu	Rutpela maculata	Invertebrate		11278	3.32	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
icpolcerv	Polydrusus cervinus	Invertebrate		5750	4.91	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
icapocory	Apoderus coryli	Invertebrate		19814	2.89	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
iccocsept	Coccinella septempunctata	Invertebrate		60547	8.71	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
icharaxyr	Harmonia axyridis	Invertebrate		69445	17.83	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
ichalsede	Halyzia sedecimguttata	Invertebrate		34304	4.43	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
icrhafulv	Rhagonycha fulva	Invertebrate		938153	71.27	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
idbibmarc	Bibio marci	Invertebrate		8370	0.84	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
idacrorbc	Acrocera orbiculus	Invertebrate		3045	1.43	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
idbomdisc	Bombylius discolor	Invertebrate		332226	33.2	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
idmacatri	Machimus atricapillus	Invertebrate		2789	0.38	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
idhydcyrt	Hydrotaea cyrtoneurina	Invertebrate		137191	17.96	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
idpolamen	Pollenia amentaria	Invertebrate		10828	1.77	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
idepisucc	Epicampocera succincta	Invertebrate		205859	33.59	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
idbelpand	Bellardia pandia	Invertebrate		50662	3.16	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
idphymeln	Phyto melanocephala	Invertebrate		26890	4.91	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
idproazur	Protocalliphora azurea	Invertebrate		96442	13.83	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
iilimauri	Limnephilus auricula	Invertebrate		67393	11.01	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
ilpienapi	Pieris napi	Invertebrate		48206	6.36	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
tzbugstol	Bugulina stolonifera	Invertebrate		16315	4.24	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
tnlinlong	Lineus longissimus	Invertebrate		11432	1.74	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
wplepclav	Lepidonotus clava	Invertebrate		11798	3.3	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
wpalivire	Alitta virens	Invertebrate		69689	12.69	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
xblimfort	Limnoperna fortunei	Invertebrate		191985	6.52	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
xggibmagu	Gibbula magus	Invertebrate		69876	15.15	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
jaricflor	Ricordea florida	Invertebrate		27880	16.49	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
jadialine	Diadumene lineata	Invertebrate		6232	0.94	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
eamarglac	Marthasterias glacialis	Invertebrate		30679	14.95	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
kaaplturb	Aplidium turbinatum	Invertebrate		85503	13.89	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
falosap	Alosa sapidissima	Vertebrates	Fish	34536	6.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
fbarbab	Barbus barbus	Vertebrates	Fish	37755	9.61	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
fdanrer	Danio rerio	Vertebrates	Fish	80307	14.89	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
ftaubub	Taurulus bubalis	Vertebrates	Fish	28595	5.3	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
fphogun	Pholis gunnellus	Vertebrates	Fish	2907	0.55	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
fthualb	Thunnus albacares	Vertebrates	Fish	7328	0.92	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
fthumac	Thunnus maccoyii	Vertebrates	Fish	2582	0.33	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
bcorhaw	Corvus hawaiiensis	Vertebrates	Aves	16391	21.2	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
bporhoc	Porphyrio hochstetteri	Vertebrates	Aves	70741	13.47	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
baccgen	Accipiter gentilis	Vertebrates	Aves	112507	19.49	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
bfalper	Falco peregrinus	Vertebrates	Aves	58861	10.24	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
bfalbia	Falco biarmicus	Vertebrates	Aves	27005	4.7	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
bfalche	Falco cherrug	Vertebrates	Aves	137248	23.87	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
rviplat	Vipera latastei	Vertebrates	Reptilia	50688	8.51	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
mlemcat	Lemur catta	Vertebrates	Mammalia	787162	32.03	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
mdicbic	Diceros bicornis	Vertebrates	Mammalia	335103	76.32	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
laaliplan	Alisma plantago-aquatica	Viridiplantae		4223	2.1	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
laapodist	Aponogeton distachyos	Viridiplantae		259867	53.52	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
lpleeoryz	Leersia oryzoides	Viridiplantae		96980	10.37	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
lpjunbufo	Juncus bufonius	Viridiplantae		627881	96.27	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
lpcypfusc	Cyperus fuscus	Viridiplantae		6242	1.52	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
lperiangu	Eriophorum angustifolium	Viridiplantae		141422	4.82	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
lpscisylv	Scirpus sylvaticus	Viridiplantae		18791	0.61	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
lpluzpall	Luzula pallescens	Viridiplantae		641603	76.23	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
dmthaminu	Thalictrum minus	Viridiplantae		548156	98.26	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
dmbervulg	Berberis vulgaris	Viridiplantae		709899	127.56	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
dcpolavic	Polygonum aviculare	Viridiplantae		51994	9.22	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
dcspemari	Spergularia marina	Viridiplantae		186350	32.58	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
dcmoetrin	Moehringia trinervia	Viridiplantae		314100	52.97	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
dcareserp	Arenaria serpyllifolia	Viridiplantae		146273	24.74	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
dcpoltetr	Polycarpon tetraphyllum	Viridiplantae		122114	30.29	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
drmedarab	Medicago arabica	Viridiplantae		56484	9.52	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
drtrifrag	Trifolium fragiferum	Viridiplantae		36933	9.78	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
drpotanse	Potentilla anserina	Viridiplantae		24677	3.7	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
drgeuriva	Geum rivale	Viridiplantae		235532	37.53	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
ddarathal	Arabidopsis thaliana	Viridiplantae		79791	14.17	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
drhedheli	Hedera helix	Viridiplantae		45101	7.15	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
datanvulg	Tanacetum vulgare	Viridiplantae		13703	2.38	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
daarcminu	Arctium minus	Viridiplantae		30248	5.2	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
dascugale	Scutellaria galericulata	Viridiplantae		171015	21.3	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
dabalnigr	Ballota nigra	Viridiplantae		52529	4.5	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
dalinvulg	Linaria vulgaris	Viridiplantae		54418	13.56	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
dashearve	Sherardia arvensis	Viridiplantae		68786	2.7	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
