species	taxa1	n	n_box	pct	null_pct
idhydcyrt	Diptera	2000	0	0.0	0.0
idpolamen	Diptera	2000	0	0.0	0.0
idepisucc	Diptera	2000	0	0.0	0.0
idgymrotn	Diptera	2000	0	0.0	0.0
idbelpand	Diptera	2000	0	0.0	0.0
idphymeln	Diptera	2000	0	0.0	0.0
idproazur	Diptera	2000	0	0.0	0.0
iccanrust	Coleoptera	2000	0	0.0	0.0
icagrcyan	Coleoptera	2000	0	0.0	0.0
iilimrhom	Trichoptera	2000	0	0.0	0.0
iilimluna	Trichoptera	2000	0	0.0	0.0
ilpienapi	Lepidoptera	2000	0	0.0	0.0
tzbugstol	Bryozoa	2000	0	0.0	0.0
tzmemmemb	Bryozoa	2000	0	0.0	0.0
tnlinlong	Nemertea	2000	0	0.0	0.0
wplepclav	Annelida	2000	0	0.0	0.0
wpalivire	Annelida	2000	0	0.0	0.0
xblimfort	Mollusca	2000	0	0.0	0.0
xggibmagu	Mollusca	2000	0	0.0	0.0
ocsyccili	Porifera	2000	0	0.0	0.0
jahalocto	NA	2000	0	0.0	0.0
jaricflor	Cnidaria	2000	0	0.0	0.0
jadialine	Cnidaria	2000	0	0.0	0.0
jamemvect	NA	2000	0	0.0	0.0
eamarglac	Echinodermata	2000	0	0.0	0.0
kaaplturb	Tunicata	2000	0	0.0	0.0
falosap	Actinopterygii	2000	0	0.0	0.0
fbarbab	Actinopterygii	2000	0	0.0	0.0
fdanrer	Actinopterygii	2000	0	0.0	0.0
ftratra	Actinopterygii	2000	0	0.0	0.0
ftaubub	Actinopterygii	2000	0	0.0	0.0
fphogun	Actinopterygii	2000	0	0.0	0.0
fthualb	Actinopterygii	2000	0	0.0	0.0
fthumac	Actinopterygii	2000	0	0.0	0.0
bcorhaw	Aves	2000	0	0.0	0.1
bporhoc	Aves	2000	0	0.0	0.0
baccgen	Aves	2000	0	0.0	0.0
bfalper	Aves	2000	0	0.0	0.0
bfalbia	Aves	2000	0	0.0	0.0
iilimauri	Trichoptera	2000	0	0.0	0.0
iilimmarm	Trichoptera	2000	0	0.0	0.0
bgalgal	Aves	2000	0	0.0	0.0
bfalche	Aves	2000	0	0.0	0.05
blagmut	Aves	946	0	0.0	0.0
rviplat	Reptilia	2000	0	0.0	0.0
mdicbic	Mammalia	2000	0	0.0	0.0
mcanlor	Mammalia	2000	0	0.0	0.0
melemax	Mammalia	2000	0	0.0	0.0
mlemcat	Mammalia	2000	0	0.0	0.0
morcroc	NA	2000	0	0.0	0.0
mmelmel	Mammalia	2000	0	0.0	0.0
laaliplan	Monocots	2000	0	0.0	0.0
mcerela	Mammalia	2000	0	0.0	0.05
laapodist	Monocots	2000	0	0.0	0.0
lapotnata	Monocots	2000	0	0.0	0.0
latrimari	Monocots	2000	0	0.0	0.05
lsirifoet	Monocots	2000	0	0.0	0.0
lpleeoryz	Monocots	2000	0	0.0	0.0
lpphlprat	Monocots	2000	0	0.0	0.0
lpjuneffu	Monocots	2000	0	0.0	0.0
lpjunbufo	Monocots	2000	0	0.0	0.0
lpjunsqua	Monocots	2000	0	0.0	0.05
lpelequin	Monocots	2000	0	0.0	0.0
lpcypfusc	Monocots	2000	0	0.0	0.0
lpschlacu	Monocots	2000	0	0.0	0.05
lpschltriq	NA	2000	0	0.0	0.0
lpschltabe	NA	2000	0	0.0	0.0
lpcardepa	Monocots	2000	0	0.0	0.0
lperiangu	Monocots	2000	0	0.0	0.0
lpscisylv	Monocots	2000	0	0.0	0.0
lpluzpall	Monocots	2000	0	0.0	0.0
lpluzsylv	Monocots	2000	0	0.0	0.0
dmthaminu	Dicots	2000	0	0.0	0.0
dmaquvulg	Dicots	2000	0	0.0	0.0
dmbervulg	Dicots	2000	0	0.0	0.0
dcpolavic	Dicots	2000	0	0.0	0.0
dcspemari	Dicots	2000	0	0.0	0.0
dcmoetrin	Dicots	2000	0	0.0	0.0
dcareserp	Dicots	2000	0	0.0	0.0
dcpoltetr	Dicots	2000	0	0.0	0.0
dcastglyc	NA	2000	0	0.0	0.0
drmedarab	Dicots	2000	0	0.0	0.0
drtrifrag	Dicots	2000	0	0.0	0.05
dhquebobu	NA	2000	0	0.0	0.0
dhcorcolu	Dicots	2000	0	0.0	0.0
drparjuda	Dicots	2000	0	0.0	0.05
drpotanse	Dicots	2000	0	0.0	0.0
drroscani	NA	2000	0	0.0	0.0
drgeuriva	Dicots	2000	0	0.0	0.0
drchaangu	Dicots	2000	0	0.0	0.0
ddbarvulg	Dicots	2000	0	0.0	0.0
ddarathal	Dicots	2000	0	0.0	0.0
ddpopnigr	Dicots	2000	0	0.0	0.0
ddeuppepu	Dicots	2000	0	0.0	0.0
ddmerannu	Dicots	2000	0	0.0	0.0
drhedheli	Dicots	2000	0	0.0	0.0
ddhotpalu	Dicots	2000	0	0.0	0.0
datanvulg	Dicots	2000	0	0.0	0.0
daarcminu	Dicots	2000	0	0.0	0.0
dalyceuro	Dicots	2000	0	0.0	0.0
dascugale	Dicots	2000	0	0.0	0.0
dabalnigr	Dicots	2000	0	0.0	0.0
damisoron	Dicots	2000	0	0.0	0.0
dalinvulg	Dicots	2000	0	0.0	0.05
dashearve	Dicots	2000	0	0.0	0.0
