species	n_arrays	n_win	n_win_null	id_canon_obs	id_canon_null	excess_canon	id_motif_obs	id_motif_null	excess_motif
ibectpall	3000	18	277	70.6	71.5	-0.9	83.3	67.7	15.6
icadabipu	3000	57	227	70.8	71.5	-0.7	93.0	68.8	24.2
icagofuli	3000	53	600	70.6	71.4	-0.8	88.1	70.0	18.1
icagrcyan	3000	19	154	70.6	71.0	-0.4	81.1	67.9	13.2
icapocory	3000	1	142		71.3			67.9	
iccanrust	3000	2	387		71.3			68.1	
iccarprob	3000	266	185	71.9	71.3	0.6	79.9	68.7	11.2
iccetaura	3000	28	289	70.6	71.5	-0.9	88.0	67.9	20.1
iccocsept	3000	37	214	70.6	71.4	-0.8	71.1	68.1	3.0
ichalsede	3000	37	108	71.2	71.7	-0.5	70.0	67.8	2.2
icharaxyr	3000	1897	339	70.6	71.4	-0.8	97.1	67.8	29.3
iclepmacu	3000	0	442		71.4			68.7	
icmalbipu	3000	0	133		71.2			66.5	
icnebbrev	3000	1872	78	70.8	71.0	-0.2	96.3	67.8	28.5
icnebsali	3000	2200	58	72.2	71.3	0.9	95.8	67.8	28.0
icnicinve	3000	14	201	70.6	71.4	-0.8	90.8	67.9	22.9
icocyolen	3000	5	395		71.7			69.8	
icpolcerv	3000	2744	1009	78.7	71.4	7.3	93.4	68.5	24.9
icptemadi	3000	0	126		71.8			69.2	
icquelate	3000	85	406	70.8	71.3	-0.5	73.0	67.3	5.7
icrhafulv	3000	0	51		70.8			69.0	
icscaquad	3000	5	33		71.3			71.1	
icsilatra	3000	61	187	70.6	71.8	-1.2	95.8	67.3	28.5
idacrorbc	3000	2751	370	70.9	71.2	-0.3	90.8	67.8	23.0
idantanth	3000	7	342		71.2			68.8	
idathibis	3000	33	424	70.6	71.2	-0.6	70.9	70.1	0.8
idbelpand	3000	0	54		71.0			82.4	
idbibmarc	3000	0	54		71.5			68.8	
idbomdisc	3000	7	361		71.5			67.6	
idclutigr	3000	9	222		71.5			67.5	
idepisucc	3000	174	444	70.7	71.8	-1.1	76.0	69.5	6.5
idgymrotn	3000	1696	137	70.8	71.6	-0.8	83.9	68.1	15.8
idhydcyrt	3000	23	101	70.6	71.4	-0.8	92.3	67.9	24.4
idmacatri	2789	158	121	70.7	71.2	-0.5	92.9	67.3	25.6
idphymeln	3000	11	218	70.6	71.4	-0.8	82.4	68.4	14.0
idpolamen	3000	43	209	70.7	71.7	-1.0	89.3	68.9	20.4
idproazur	3000	3	118		71.2			68.7	
ieclodipt	3000	29	114	70.6	72.1	-1.5	100.0	69.1	30.9
ieecdtorr	3000	0	236		71.4			68.4	
ieprobifi	3000	1670	499	71.3	71.5	-0.2	98.5	67.6	30.9
iesipalte	3000	918	488	71.7	71.4	0.3	78.3	69.0	9.3
iglabmino	3000	1	141		71.5			70.9	
ihaelacum	3000	53	217	81.5	71.7	9.8	97.7	69.4	28.3
ihicepurc	3000	545	790	70.8	71.6	-0.8	77.6	68.3	9.3
iilimauri	3000	14	210	70.6	71.8	-1.2	79.8	68.6	11.2
iilimluna	3000	28	569	70.6	71.7	-1.1	78.6	69.0	9.6
iilimmarm	3000	56	366	70.8	71.7	-0.9	69.4	69.2	0.2
iilimrhom	3000	71	363	70.6	71.8	-1.2	67.9	69.0	-1.1
ilpienapi	3000	49	921	70.6	71.4	-0.8	72.6	68.0	4.6
inchrcarn	3000	131	152	71.2	71.1	0.1	97.1	68.8	28.3
ioisceleg	3000	35	258	70.6	71.2	-0.6	75.8	68.6	7.2
ipisogram	3000	16	162	70.6	71.4	-0.8	95.6	66.9	28.7
ipnemdubi	3000	2062	1743	71.0	71.4	-0.4	77.1	68.0	9.1
iuloevari	3000	263	1096	70.6	71.5	-0.9	78.2	68.2	10.0
iupsogibb	3000	1	151		71.4			68.0	
iyabicand	3000	115	333	70.6	71.5	-0.9	70.3	67.8	2.5
iyanddors	1519	1475	434	70.7	72.2	-1.5	89.9	69.5	20.4
iyanonige	3000	97	664	70.6	71.7	-1.1	88.0	68.0	20.0
iyapainim	3000	37	730	70.6	71.6	-1.0	71.7	67.4	4.3
iyathrosa	3000	45	122	71.9	71.6	0.3	77.0	67.9	9.1
iybomhypn	3000	1	14		71.4			78.6	
iycoeconi	3000	4	115		71.1			68.2	
iyectcont	3000	0	202		71.6			67.4	
iylasvill	3000	0	51		71.5			67.8	
iymacalbo	3000	31	214	70.6	71.6	-1.0	97.5	68.6	28.9
iymaceuro	3000	38	157	70.6	71.4	-0.8	92.9	66.5	26.4
iymimdahl	3000	2545	847	70.6	71.6	-1.0	96.0	67.6	28.4
iynomfabr	3000	24	142	70.6	72.1	-1.5	85.0	68.3	16.7
iyophlute	3000	6	460		71.6			67.6	
iypemlugu	3000	2	197		71.0			74.3	
iypripert	3000	93	189	70.7	71.3	-0.6	87.3	66.4	20.9
iyseltumu	3000	0	35		71.6			67.4	
iystephae	3000	2476	299	73.6	71.7	1.9	93.8	69.3	24.5
iytipfemo	3000	598	227	70.6	71.4	-0.8	96.0	66.6	29.4
iyvesvulg	1236	1228	678	71.2	71.4	-0.2	71.9	68.3	3.6
iyvulbima	3000	1326	293	75.4	71.4	4.0	96.6	67.8	28.8
jadialine	3000	0	176		71.4			68.8	
jaricflor	3000	73	597	70.7	71.3	-0.6	75.1	67.4	7.7
kaaplturb	3000	87	204	70.6	71.4	-0.8	88.2	70.5	17.7
laaliplan	3000	371	544	70.6	71.4	-0.8	93.2	67.3	25.9
laapodist	3000	0	291		71.5			66.9	
lapotnata	3000	2190	427	73.5	71.9	1.6	92.0	67.6	24.4
latrimari	3000	463	680	71.4	71.6	-0.2	67.0	67.2	-0.2
lpcardepa	3000	32	36	70.6	71.1	-0.5	68.0	65.8	2.2
lpcypfusc	3000	196	313	71.1	71.4	-0.3	79.0	67.7	11.3
lpdigsang	3000	0	379		71.9			67.7	
lpelequin	3000	2	44		71.8			69.3	
lperiangu	3000	4	6						
lpjunbufo	3000	228	191	73.7	71.5	2.2	87.7	68.8	18.9
lpjuneffu	3000	171	181	70.8	71.0	-0.2	91.9	69.2	22.7
lpjunsqua	3000	232	580	70.7	71.8	-1.1	86.7	69.0	17.7
lpleeoryz	3000	12	60	70.6	71.3	-0.7	91.2	67.1	24.1
lpluzpall	3000	0	186		71.4			69.2	
lpluzsylv	3000	17	156	70.6	72.0	-1.4	94.1	69.9	24.2
lpphlprat	3000	0	57		71.3			66.7	
lpschlacu	3000	38	78	70.9	71.2	-0.3	78.5	68.9	9.6
lpscisylv	3000	2	5						
lsirifoet	3000	377	419	72.6	71.3	1.3	73.8	68.1	5.7
mcanlor	3000	121	750	71.4	71.5	-0.1	72.7	67.3	5.4
mcerela	3000	656	1494	70.7	71.5	-0.8	68.4	67.2	1.2
mdicbic	3000	5	198		71.3			67.0	
melemax	3000	4141	2092	70.6	71.6	-1.0	78.0	66.5	11.5
mlemcat	3000	0	9						
mmelmel	3000	118	141	72.8	71.4	1.4	70.5	66.8	3.7
ocsyccili	3000	279	658	71.0	71.7	-0.7	73.6	67.0	6.6
qeallfusc	3000	66	307	70.6	71.5	-0.9	70.1	68.1	2.0
qelepcurv	2766	590	907	70.7	71.2	-0.5	95.5	71.5	24.0
qeorcflav	3000	0	131		71.6			67.5	
rviplat	3000	15	276	70.6	71.8	-1.2	84.7	68.0	16.7
tnlinlong	3000	3	164		71.5			67.0	
tzbugstol	3000	46	115	70.6	71.1	-0.5	93.0	69.3	23.7
tzmemmemb	3000	51	749	70.7	71.5	-0.8	79.5	67.8	11.7
wpalivire	3000	706	181	70.6	71.1	-0.5	91.9	66.2	25.7
wplepclav	3000	66	288	70.6	71.6	-1.0	99.3	67.2	32.1
xblimfort	3000	0	2						
xggibmagu	3000	8	219		71.4			67.6	
