,X,fasta,TRASH_new_class,count_total,is_holocentric,HOR_score,regimentation_score,bg_col,order
79,89,icQueLate1,1177_5,4851,FALSE,5.784816428,25.45454545,#3f37c990,2
19,29,ibEctPall1,562_2,63444,FALSE,5.89859336,15.18199769,#3f37c990,2
17,18,ieProBifi2,346_6,1773,FALSE,5.909712138,10,#3f37c990,2
68,78,iyOphLute1,162_5,21215,FALSE,6.204811691,21.01399588,#3f37c990,2
26,36,ipIsoGram3,94_3,79087,FALSE,6.373963059,11.57296382,#3f37c990,2
36,46,iyLasVill1,179_18,4713,FALSE,6.469651323,30.35714286,#3f37c990,2
121,131,idEpiSucc1,158_1,136694,FALSE,6.706608888,41.9960474,#3f37c990,2
18,19,ieProBifi2,335_13,1843,FALSE,6.75725383,0,#3f37c990,2
76,86,icQueLate1,878_7,6965,FALSE,6.773209832,30.49095607,#3f37c990,2
59,69,iyPriPert1,184_3,1845,FALSE,6.972450749,26.66666667,#3f37c990,2
13,14,ieCloDipt1,72_1,19343,FALSE,6.985079878,9.042684783,#3f37c990,2
62,72,iyAnoNige1,351_2,33919,FALSE,7.113764228,5.897670795,#3f37c990,2
3,3,qeAllFusc8,148_3,21486,FALSE,7.161119067,27.62360194,#3f37c990,2
139,152,tnLinLong1,152_2,11432,FALSE,7.390339278,7.295710372,#3f37c990,2
93,103,icApoCory1,147_1,19814,FALSE,8.967235275,9.051956815,#3f37c990,2
114,124,idAntAnth1,135_4,20990,FALSE,9.018559075,26.54452502,#3f37c990,2
22,32,ibEctPall1,152_5,32721,FALSE,9.32139765,12.31350272,#3f37c990,2
66,76,iyVulBima1,140_1,75745,FALSE,9.344725396,23.04616788,#3f37c990,2
144,157,wpAliVire1,124_10,28056,FALSE,9.398302606,11.18039562,#3f37c990,2
94,104,icAdaBipu1,186_1,79374,FALSE,9.55093162,3.946883395,#3f37c990,2
132,142,idProAzur1,189_1,42950,FALSE,9.562651583,6.40462597,#3f37c990,2
96,106,icHarAxyr1,278_1,53856,FALSE,9.646237539,16.80271228,#3f37c990,2
77,87,icQueLate1,173_6,1175,FALSE,9.978540425,0,#3f37c990,2
38,48,iyLasVill1,1052_7,6869,FALSE,10.38399135,0,#3f37c990,2
106,116,idAcrOrbc1,455_2,2681,FALSE,10.47411826,0,#3f37c990,2
91,101,icLepMacu1,277_1,11278,FALSE,10.90255728,7.083333333,#3f37c990,2
14,15,ieCloDipt1,106_2,3492,FALSE,11.10514667,27.99450549,#3f37c990,2
137,150,tzBugStol2,394_3,3258,FALSE,11.1996152,2.469135802,#3f37c990,2
28,38,iyAthRosa1,46_1,61783,FALSE,11.49335447,29.64347537,#3f37c990,2
16,17,ieProBifi2,158_2,5333,FALSE,11.63133555,14.16827853,#3f37c990,2
147,160,xgGibMagu1,218_2,69876,FALSE,12.38282897,33.09241567,#3f37c990,2
61,71,iyPriPert1,141_7,12641,FALSE,12.51007513,6.833333333,#3f37c990,2
88,98,icScaQuad2,110_1,128148,FALSE,13.15199845,38.48912846,#3f37c990,2
9,10,ieSipAlte2,177_4,10510,FALSE,13.17803887,39.14081996,#3f37c990,2
80,90,icQueLate1,800_10,8377,FALSE,13.18174432,58.46153846,#3f37c990,2
154,167,eaMarGlac1,484_1,30679,FALSE,13.2686526,74.12878788,#3f37c990,2
49,59,iyNomFabr1,100_1,38153,FALSE,13.8937424,16.32506362,#3f37c990,2
74,84,icCarProb1,210_1,130427,FALSE,14.48341625,31.96032657,#3f37c990,2
97,107,icHarAxyr1,178_3,15589,FALSE,15.21805627,14.4970372,#3f37c990,2
8,9,ieSipAlte2,345_9,15352,FALSE,15.62531128,29.31186461,#3f37c990,2
120,130,idPolAmen1,168_4,10828,FALSE,17.602058,26.91756272,#3f37c990,2
148,161,ocSycCili1,367_1,22629,FALSE,17.6839832,28.50170256,#3f37c990,2
4,5,ieEcdTorr1,246_1,10465,FALSE,17.90588612,25.46296296,#3f37c990,2
92,102,icPolCerv1,967_1,5753,FALSE,18.13192078,59.68253968,#3f37c990,2
75,85,icOcyOlen1,172_1,871960,FALSE,18.45989076,47.19801778,#3f37c990,2
107,117,idAcrOrbc1,853_7,364,FALSE,19.22958219,0,#3f37c990,2
20,30,ibEctPall1,248_4,64343,FALSE,19.58482098,28.23086284,#3f37c990,2
6,7,ieEcdTorr1,128_3,10363,FALSE,19.63832978,15.49947146,#3f37c990,2
116,126,idMacAtri3,139_2,2789,FALSE,19.6919172,20,#3f37c990,2
57,67,iyTipFemo1,138_4,7515,FALSE,20.65623816,10.21579431,#3f37c990,2
151,164,jaRicFlor1,595_1,27880,FALSE,21.10709905,52.85178655,#3f37c990,2
63,73,iyVesVulg1,2068_4,1243,FALSE,21.34989532,33.33333333,#3f37c990,2
152,165,jaDiaLine6,152_1,6232,FALSE,21.46206646,8.666666667,#3f37c990,2
85,95,icSilAtra2,341_2,39985,FALSE,23.24796182,46.28034072,#3f37c990,2
136,149,tzBugStol2,228_1,13057,FALSE,25.57347983,29.96857421,#3f37c990,2
153,166,jaNemVect1,546_1,13281,FALSE,25.70186261,7.573964497,#3f37c990,2
142,155,wpAliVire1,278_3,13805,FALSE,27.34033744,16.54846641,#3f37c990,2
10,11,ieSipAlte2,176_2,5936,FALSE,29.69601738,1.984126984,#3f37c990,2
15,16,ieProBifi2,335_10,2640,FALSE,31.60004924,2,#3f37c990,2
29,39,iyAbiCand1,146_1,105413,FALSE,35.4255675,60.01077272,#3f37c990,2
110,120,idBomDisc1,142_4,25142,FALSE,36.44483116,47.25336067,#3f37c990,2
82,92,icQueLate1,152_2,30184,FALSE,37.38616333,29.61750217,#3f37c990,2
138,151,tzMemMemb1,335_1,27483,FALSE,39.45600408,62.44208038,#3f37c990,2
143,156,wpAliVire1,652_5,8031,FALSE,43.01131122,53.08303624,#3f37c990,2
89,99,icCetAura1,168_3,25625,FALSE,46.86100314,48.85330356,#3f37c990,2
71,81,icAgoFuli1,503_1,78628,FALSE,48.18419573,86.98597567,#3f37c990,2
115,125,idAntAnth1,2312_3,4887,FALSE,55.51063318,46.66666667,#3f37c990,2
140,153,wpLepClav1,283_1,6276,FALSE,58.84116781,70.57374444,#3f37c990,2
51,61,iyMimDahl1,348_7,9509,FALSE,62.72577137,35.84045584,#3f37c990,2
45,55,iySelTumu1,217_3,898,FALSE,70.33009405,16.66666667,#3f37c990,2
105,115,idBibMarc1,100_3,8370,FALSE,70.43585203,90.92063492,#3f37c990,2
100,110,icRhaFulv1,76_1,938153,FALSE,74.24,0,#3f37c990,2
31,41,iyNysSpin1,181_7,3919,FALSE,75.89553746,42.66666667,#3f37c990,2
44,54,iySelTumu1,282_4,9400,FALSE,76.9707888,39.65034965,#3f37c990,2
141,154,wpLepClav1,358_2,5522,FALSE,78.10051317,40,#3f37c990,2
101,111,icCanRust1,338_2,52219,FALSE,78.29403736,94.89968028,#3f37c990,2
37,47,iyLasVill1,178_9,5012,FALSE,85.50733778,73.75,#3f37c990,2
1,1,qeLepCurv1,1036_1,2767,FALSE,NA,NA,#3f37c990,2
12,13,ieSipAlte2,1413_8,503,FALSE,NA,NA,#3f37c990,2
23,33,ipNemDubi1,1080_2,4399,FALSE,NA,NA,#3f37c990,2
39,49,iyLasVill1,1078_5,2797,FALSE,NA,NA,#3f37c990,2
53,63,iyPemLugu1,1421_8,791,FALSE,NA,NA,#3f37c990,2
102,112,icCanRust1,152_3,161901,FALSE,NA,NA,#3f37c990,2
133,144,iiLimMarm1,166_3,61594,TRUE,NA,NA,#3f37c990,2
134,145,iiLimRhom1,161_5,24055,TRUE,NA,NA,#3f37c990,2
135,146,iiLimLuna2,353_2,41449,TRUE,NA,NA,#3f37c990,2
175,188,mLemCat1,41_1,806044,FALSE,0.730699991,6.827111378,#f7258590,3
165,178,bCorHaw1,1104_6,3603,FALSE,2.029863197,0,#f7258590,3
181,194,mCerEla1,796_1,224055,FALSE,4.119747444,29.19393549,#f7258590,3
170,183,bFalChe1,174_1,137248,FALSE,7.120451296,19.67853135,#f7258590,3
169,182,bFalBia1,174_1,27005,FALSE,7.755343293,15.20979235,#f7258590,3
171,184,bGalGal1,42_1,21867,FALSE,10.02486916,34.48823336,#f7258590,3
166,179,bPorHoc1,191_1,70741,FALSE,10.66969334,19.52129735,#f7258590,3
159,172,fTraTra1,190_3,6659,FALSE,10.99962307,33.15789474,#f7258590,3
155,168,kaAplTurb1,156_1,85503,FALSE,12.83745969,29.82582035,#f7258590,3
162,175,fThuAlb1,127_4,7328,FALSE,13.3808306,13.33333333,#f7258590,3
163,176,fThuMac1,127_6,2582,FALSE,14.16591816,2.222222222,#f7258590,3
156,169,fAloSap1,172_1,34536,FALSE,16.09321814,19.6186432,#f7258590,3
173,186,rVipLat1,168_2,50688,FALSE,16.27922938,36.18661716,#f7258590,3
168,181,bFalPer1,174_2,58861,FALSE,18.73882931,16.102445,#f7258590,3
179,192,mOrcOrc1,168_1,89516,FALSE,19.54403245,34.84384624,#f7258590,3
167,180,bAccGen1,173_1,112507,FALSE,23.41342695,57.26042408,#f7258590,3
158,171,fDanRer4,186_2,80307,FALSE,24.4504778,41.80009063,#f7258590,3
160,173,fTauBub2,186_1,28595,FALSE,27.20332921,45.77291783,#f7258590,3
180,193,mOrcOrc1,593_2,11123,FALSE,28.96033544,32.97107937,#f7258590,3
157,170,fBarBab1,254_1,37755,FALSE,29.61651153,29.06560924,#f7258590,3
172,185,bLagMut1,2561_3,947,FALSE,31.86273521,50,#f7258590,3
178,191,mMelMel3,138_1,87864,FALSE,32.39969365,53.09511845,#f7258590,3
176,189,mDicBic1,228_1,335103,FALSE,45.67867282,77.92790859,#f7258590,3
177,190,mCanLor1,738_1,22116,FALSE,47.13325288,64.07634433,#f7258590,3
164,177,bCorHaw1,1451_1,12791,FALSE,56.00917051,31.86788517,#f7258590,3
161,174,fPhoGun1,186_6,2907,FALSE,75.13820179,50,#f7258590,3
174,187,mEleMax1,848_2,32556,FALSE,77.74540767,84.22310642,#f7258590,3
187,205,lsIriFoet1,448_2,281687,FALSE,0.068039719,2.894084214,#8ac92690,4
252,270,ddMerAnnu1,99_2,154513,FALSE,0.198019737,7.707932244,#8ac92690,4
248,266,ddPopNigr1,70_4,20659,FALSE,1.836698071,11.78934933,#8ac92690,4
209,227,lpJunEffu1,365_4,13173,FALSE,1.907638294,13.33333333,#8ac92690,4
246,264,ddPopNigr1,144_2,35632,FALSE,2.041530344,23.41180103,#8ac92690,4
208,226,lpJunEffu1,182_5,19603,FALSE,2.069231601,17.20238095,#8ac92690,4
229,247,dhQueRobu3,146_1,167213,FALSE,2.110205647,12.59729323,#8ac92690,4
215,233,dcPolAvic1,172_1,51994,FALSE,2.127981841,12.46000541,#8ac92690,4
250,268,ddPopNigr1,213_7,2992,FALSE,2.326016552,17.77777778,#8ac92690,4
183,201,laApoDist1,208_17,259867,FALSE,2.685704193,6.721462998,#8ac92690,4
254,272,ddHotPalu2,168_3,138338,FALSE,2.689314788,30.0437737,#8ac92690,4
217,235,dcMoeTrin1,169_1,314100,FALSE,2.80969205,21.52715239,#8ac92690,4
249,267,ddPopNigr1,213_10,1390,FALSE,2.834532374,66.66666667,#8ac92690,4
232,250,drPotAnse1,150_1,24677,FALSE,2.874918561,22.7199114,#8ac92690,4
247,265,ddPopNigr1,212_3,8407,FALSE,2.909758117,10.44070513,#8ac92690,4
190,208,lpLeeOryz1,101_2,96980,FALSE,2.934028646,16.321453,#8ac92690,4
253,271,drHedHeli1,160_1,45101,FALSE,3.945750412,16.42041388,#8ac92690,4
228,246,drTriFrag1,166_3,17101,FALSE,3.966411292,22.91666667,#8ac92690,4
218,236,dcAreSerp1,170_2,146273,FALSE,4.057727384,23.81239802,#8ac92690,4
226,244,drTriFrag1,183_4,8628,FALSE,4.189711108,14.18439716,#8ac92690,4
191,209,lpPhlPrat1,83_3,150363,FALSE,4.248263169,26.84049236,#8ac92690,4
244,262,ddBarVulg1,410_2,39724,FALSE,4.252062021,32.25520722,#8ac92690,4
262,284,daSheArve1,39_2,70715,FALSE,4.632640656,15.77673115,#8ac92690,4
245,263,ddAraThal4,178_1,79791,FALSE,4.77582992,19.83467744,#8ac92690,4
255,273,daTanVulg1,179_19,13703,FALSE,4.877077103,20.18706091,#8ac92690,4
188,206,lpDigSang1,178_2,62196,FALSE,4.978733262,28.75024816,#8ac92690,4
236,254,drChaAngu1,436_15,2924,FALSE,5.121303763,43.39622642,#8ac92690,4
220,238,dcPolTetr1,138_4,67564,FALSE,5.294396506,28.5780837,#8ac92690,4
216,234,dcSpeMari1,178_1,186350,FALSE,5.332780008,23.30442364,#8ac92690,4
213,231,dmAquVulg1,331_1,51495,FALSE,5.44578975,30.93097282,#8ac92690,4
251,269,ddEupPepu3,159_1,131031,FALSE,5.764572592,28.32933505,#8ac92690,4
265,287,ocSycCili1,135_7,3414,FALSE,5.776955377,10,#8ac92690,4
214,232,dmBerVulg1,179_1,709899,FALSE,6.942129801,41.45533067,#8ac92690,4
260,282,daMisOron1,123_2,31645,FALSE,7.08619624,30.73284772,#8ac92690,4
222,240,drAstGlyc1,171_1,88737,FALSE,7.979273402,34.00255716,#8ac92690,4
259,281,daBalNigr1,86_2,52529,FALSE,8.282935244,27.55385936,#8ac92690,4
184,202,laPotNata1,145_7,39033,FALSE,8.671267117,22.93513559,#8ac92690,4
211,229,lpJunSqua1,155_2,157934,FALSE,8.855850125,30.23205583,#8ac92690,4
225,243,drTriFrag1,683_9,4006,FALSE,8.877936597,48.19047619,#8ac92690,4
257,275,daArcMinu1,450_4,2104,FALSE,8.948427711,57.14285714,#8ac92690,4
256,274,daArcMinu1,157_3,28144,FALSE,9.272919567,48.64740116,#8ac92690,4
207,225,lpJunEffu1,147_1,131167,FALSE,9.760904857,36.21601672,#8ac92690,4
210,228,lpJunBufo1,155_1,627881,FALSE,10.76548634,52.21093011,#8ac92690,4
223,241,drMedArab1,169_1,56484,FALSE,12.92963947,21.79418819,#8ac92690,4
219,237,dcPolTetr1,382_3,46178,FALSE,13.59813736,45.86409131,#8ac92690,4
231,249,drParJuda1,359_2,46759,FALSE,13.79490467,61.45348355,#8ac92690,4
221,239,dcPolTetr1,429_2,8372,FALSE,13.95006299,42.85185185,#8ac92690,4
261,283,daLinVulg1,266_9,54418,FALSE,14.32168121,46.50051853,#8ac92690,4
235,253,drChaAngu1,216_3,260697,FALSE,15.28616427,61.48586673,#8ac92690,4
182,200,laAliPlan1,538_5,4223,FALSE,15.79257258,61.38344227,#8ac92690,4
212,230,dmThaMinu1,180_1,548156,FALSE,16.89268896,58.2218557,#8ac92690,4
258,280,daScuGale1,124_1,171015,FALSE,18.84625424,56.18764088,#8ac92690,4
234,252,drGeuRiva1,159_1,235532,FALSE,19.70681321,61.11044946,#8ac92690,4
185,203,laTriMari1,1187_3,8357,FALSE,20.63957465,75,#8ac92690,4
189,207,lpDigSang1,159_1,42551,FALSE,21.61480308,70.04680836,#8ac92690,4
233,251,rosCan_S27_v1,130_3,261308,FALSE,24.20099944,38.91754578,#8ac92690,4
243,261,drChaAngu1,1546_9,1589,FALSE,24.92434532,50,#8ac92690,4
230,248,dhCorColu1,306_1,95770,FALSE,27.24078353,63.07037717,#8ac92690,4
224,242,drTriFrag1,348_8,4989,FALSE,28.33507538,57.10638298,#8ac92690,4
227,245,drTriFrag1,626_1,2209,FALSE,31.1764642,64.86486486,#8ac92690,4
240,258,drChaAngu1,1825_8,3527,FALSE,32.58845326,78.57142857,#8ac92690,4
241,259,drChaAngu1,1204_10,2835,FALSE,36.86991164,66.66666667,#8ac92690,4
239,257,drChaAngu1,1368_11,4770,FALSE,47.44116807,45.45454545,#8ac92690,4
237,255,drChaAngu1,887_5,7658,FALSE,50.83622379,75,#8ac92690,4
242,260,drChaAngu1,1090_41,1520,FALSE,55.05901695,80,#8ac92690,4
238,256,drChaAngu1,1219_20,992,FALSE,61.75620784,100,#8ac92690,4
186,204,laTriMari1,5591_21,7791,FALSE,NA,NA,#8ac92690,4
192,210,lpEleQuin1,80_1,483017,TRUE,NA,NA,#8ac92690,4
193,211,lpCypFusc1,325_1,6242,TRUE,NA,NA,#8ac92690,4
194,212,lpSchLacu1,183_4,45706,TRUE,NA,NA,#8ac92690,4
195,213,lpSchLacu1,58_10,30465,TRUE,NA,NA,#8ac92690,4
196,214,lpSchTriq1,183_2,121202,TRUE,NA,NA,#8ac92690,4
197,215,lpSchTriq1,58_1,976109,TRUE,NA,NA,#8ac92690,4
198,216,lpSchTabe1,183_3,115967,TRUE,NA,NA,#8ac92690,4
199,217,lpSchTabe1,58_1,157835,TRUE,NA,NA,#8ac92690,4
200,218,lpCarDepa1,81_2,204120,TRUE,NA,NA,#8ac92690,4
201,219,lpEriAngu1,31_5,158219,TRUE,NA,NA,#8ac92690,4
202,220,lpSciSylv1,31_4,20426,TRUE,NA,NA,#8ac92690,4
203,221,lpLuzPall1,125_3,458803,TRUE,NA,NA,#8ac92690,4
204,222,lpLuzPall1,104_2,182800,TRUE,NA,NA,#8ac92690,4
205,223,lpLuzSylv1,124_1,449648,TRUE,NA,NA,#8ac92690,4
206,224,lpLuzSylv1,174_2,166671,TRUE,NA,NA,#8ac92690,4
264,286,lpEleQuin1,946_10,93086,FALSE,NA,NA,#8ac92690,4
