fasta	sat_length_bp	sat_AT_pct
iyCoeConi1.1.fa	920	42.6
iyEctCont1.1.fa	149	56.38
iyLasVill1.1.fa	827	50.21
iyMacAlbo1.1.fa	151	66.05
iyMacEuro1.1.fa	176	61.77
iyMimDahl1.1.fa	341	51.76
iyNomFabr1.1.fa	100	56.52
iyNysSpin1.1.fa	180	60.31
iyOphLute1.1.fa	161	52.94
iyPemLugu1.1.fa	850	67.21
iyPriPert1.1.fa	176	57.05
iySelTumu1.1.fa	281	72.75
iyStePhae1.1.fa	64	48.37
iyTipFemo1.1.fa	138	57.61
iyVesVulg1.1.fa	1813	69.74
iyVulBima1.1.fa	140	57.36
jaDiaLine6.1.fa	150	72.2
jaNemVect1.1.fa	541	64.76
jaRicFlor1.1.fa	592	65.23
jrHalOcto1.1.fa	58	67.81
kaAplTurb1.1.fa	162	78.57
laAliPlan1.1.fa	496	62.04
laApoDist1.hap1.1.fa	206	52.49
laPotNata1.hap1.1.fa	143	42.95
laTriMari1.1.fa	2666	58.87
lpCarDepa1.1.fa	81	61.44
lpCypFusc1.hap1.1.fa	244	61.66
lpDigSang1.hap1.1.fa	176	51.74
lpEleQuin1.1.fa	82	66.15
lpEriAngu1.1.fa	33	59.57
lpJunBufo1.hap1.1.fa	153	70.27
lpJunEffu1.1.fa	152	71.73
lpJunSqua1.hap1.1.fa	158	53.53
lpLeeOryz1.hap1.1.fa	107	55.22
lpLuzPall1.1.fa	125	69.51
lpLuzSylv1.1.fa	125	71.55
lpPhlPrat1.hap1.1.fa	83	61.87
lpSchLacu1.fa	179	74.56
lpSchTabe1.hap1.1.fa	181	74.19
lpSchTriq1.1.fa	58	40.58
lpSciSylv1.hap1.1.fa	32	61.79
lsIriFoet1.hap1.1.fa	434	71.8
mCanLor1.2.fa	734	49.16
mCerEla1.1.fa	795	45.89
mDicBic1.1.fa	228	60.59
mEleMax1.1.fa	846	46.47
mLemCat1.1.fa	40	52.64
mMelMel3.2.fa	142	52.64
mOrcOrc1.1.fa	167	42.76
mRhiSin1.1.fa	880	48.99
ocSycCili1.1.fa	362	55.89
qeAllFusc8.1.fa	145	60.59
qeLepCurv1.1.fa	726	54.23
qeOrcFlav1.1.fa	136	55.15
rVipLat1.1.fa	168	59.27
rosCan_S27_v1.fasta.F2B.ChrOnly.fa	158	66.14
tnLinLong1.2.fa	152	53.93
tzBugStol2.1.fa	227	71.43
tzMemMemb1.1.fa	334	59.27
wpAliVire1.1.fa	465	48.39
wpLepClav1.1.fa	357	52.91
xbLimFort5.1.fa	33	71.76
xgGibMagu1.1.fa	217	63.61
