fam,n,tot.bp,width,gc%,trash.fam,taxa,fasta,chrs,genome.bp,genome.gc,clade1,clade2,genus,spp
iesipalte.766,1796,1392016,776,0.409953354,1007_4,invertebrate,ieSipAlte2.1.fa,11,446182156,32.13,Ephemeroptera,Siphlonuridae,Siphlonurus,alternatus
iesipalte.1063,503,534457,1064,0.592026205,1413_8,invertebrate,ieSipAlte2.1.fa,11,446182156,32.13,Ephemeroptera,Siphlonuridae,Siphlonurus,alternatus
ihaelacum.143,31156,4408720,143,0.305826626,154_72,invertebrate,ihAelAcum1.1.fa,8,1144246757,33.05,Hemiptera,Pentatomidae,Aelia,acuminata
ihaelacum.152,31491,4747599,152,0.325759994,155_1,invertebrate,ihAelAcum1.1.fa,8,1144246757,33.05,Hemiptera,Pentatomidae,Aelia,acuminata
ihicepurc.333,3643,1209701,333,0.357277231,287_11,invertebrate,ihIcePurc2.1.fa,2,1098446509,33.44,Hemiptera,Monophlebidae,Icerya,purchasi
iuloevari.549,10740,5894477,550,0.389184065,549_9,invertebrate,iuLoeVari1.hap1.1.fa,9,516328141,39.12,Psocodea,Psocidae,Loensia,variegata
iuloevari.137,16062,2188148,137,0.368971897,140_5,invertebrate,iuLoeVari1.hap1.1.fa,9,516328141,39.12,Psocodea,Psocidae,Loensia,variegata
iuloevari.155,5738,882652,155,0.391796802,146_8,invertebrate,iuLoeVari1.hap1.1.fa,9,516328141,39.12,Psocodea,Psocidae,Loensia,variegata
iupsogibb.166,90054,14863547,166,0.291857851,166_1,invertebrate,iuPsoGibb1.1.fa,10,404291707,38.36,Psocodea,Psocidae,Psococerastis,gibbosa
iglabmino.160,115761,18377125,160,0.194283872,161_1,invertebrate,igLabMino1.1.fa,7,599245577,26.19,Dermaptera,Spongiphoridae,Labia,minor
iglabmino.159,8576,1359735,160,0.196553546,160_3,invertebrate,igLabMino1.1.fa,7,599245577,26.19,Dermaptera,Spongiphoridae,Labia,minor
ibectpall.513,63444,32231139,509,0.334081563,562_2,invertebrate,ibEctPall1.hap1.1.fa,11,2057324107,35.37,Blattodea,Ectobiidae,Ectobius,pallidus
ibectpall.223,64343,14297115,223,0.310796191,248_4,invertebrate,ibEctPall1.hap1.1.fa,11,2057324107,35.37,Blattodea,Ectobiidae,Ectobius,pallidus
ibectpall.132,18692,2451165,132,0.304281375,129_11,invertebrate,ibEctPall1.hap1.1.fa,11,2057324107,35.37,Blattodea,Ectobiidae,Ectobius,pallidus
ibectpall.145,32721,4718907,145,0.240395683,152_5,invertebrate,ibEctPall1.hap1.1.fa,11,2057324107,35.37,Blattodea,Ectobiidae,Ectobius,pallidus
ipisogram.179,16111,2867869,179,0.374479127,179_4,invertebrate,ipIsoGram3.1.fa,14,831322058,39.98,Plecoptera,Perlodidae,Isoperla,grammatica
ipisogram.68,106692,7136788,68,0.53611368,68_2,invertebrate,ipIsoGram3.1.fa,14,831322058,39.98,Plecoptera,Perlodidae,Isoperla,grammatica
ipisogram.94,79087,7347242,94,0.446347379,94_3,invertebrate,ipIsoGram3.1.fa,14,831322058,39.98,Plecoptera,Perlodidae,Isoperla,grammatica
ipnemdubi.899,4399,3948280,899,0.721925508,1080_2,invertebrate,ipNemDubi1.1.fa,6,318192681,43.52,Plecoptera,Nemouridae,Nemoura,dubitans
iymacalbo.151,23805,3574286,151,0.3395242,152_2,invertebrate,iyMacAlbo1.1.fa,8,243741910,37.48,Hymenoptera,Tenthredinidae,Macrophya,alboannulata
iyathrosa.46,61783,2771856,46,0.444734892,46_1,invertebrate,iyAthRosa1.1.fa,8,170936952,41.33,Hymenoptera,Tenthredinidae,Athalia,rosae
iyabicand.146,105413,15269795,146,0.37894956,146_1,invertebrate,iyAbiCand1.1.fa,16,215712684,36.91,Hymenoptera,Cimbicidae,Abia,candens
iyabicand.143,47844,6793856,143,0.390643037,143_3,invertebrate,iyAbiCand1.1.fa,16,215712684,36.91,Hymenoptera,Cimbicidae,Abia,candens
iynysspin.180,3919,700246,180,0.396865986,181_7,invertebrate,iyNysSpin1.1.fa,26,231180108,37.37,Hymenoptera,Bembicidae,Nysson,spinosus
iyectcont.149,194265,28703994,149,0.436188793,149_1,invertebrate,iyEctCont1.1.fa,14,235497558,44.11,Hymenoptera,Crabronidae,Ectemnius,continuus
iyanddors.177,1519,266991,177,0.465013297,178_2,invertebrate,iyAndDors1.1.fa,3,269108231,42.69,Hymenoptera,Andrenidae,Andrena,dorsata
iylasvill.105,25605,2666915,105,0.384176789,100_14,invertebrate,iyLasVill1.1.fa,11,401825491,40.72,Hymenoptera,Halictidae,Lasioglossum,villosulum
iylasvill.138,10261,1403675,138,0.424116693,138_21,invertebrate,iyLasVill1.1.fa,11,401825491,40.72,Hymenoptera,Halictidae,Lasioglossum,villosulum
iylasvill.101,4713,729185,156,0.382323061,179_18,invertebrate,iyLasVill1.1.fa,11,401825491,40.72,Hymenoptera,Halictidae,Lasioglossum,villosulum
iylasvill.177,5012,885178,178,0.410445728,178_9,invertebrate,iyLasVill1.1.fa,11,401825491,40.72,Hymenoptera,Halictidae,Lasioglossum,villosulum
iylasvill.820,6869,5633935,821,0.376323606,1052_7,invertebrate,iyLasVill1.1.fa,11,401825491,40.72,Hymenoptera,Halictidae,Lasioglossum,villosulum
iylasvill.839,2797,2403390,860,0.422597767,1078_5,invertebrate,iyLasVill1.1.fa,11,401825491,40.72,Hymenoptera,Halictidae,Lasioglossum,villosulum
iylasvill.848,6913,5893489,854,0.405747028,1043_4,invertebrate,iyLasVill1.1.fa,11,401825491,40.72,Hymenoptera,Halictidae,Lasioglossum,villosulum
iylasvill.838,9103,7516883,827,0.497915008,1087_2,invertebrate,iyLasVill1.1.fa,11,401825491,40.72,Hymenoptera,Halictidae,Lasioglossum,villosulum
iylasvill.819,1172,958796,819,0.433591467,1015_21,invertebrate,iyLasVill1.1.fa,11,401825491,40.72,Hymenoptera,Halictidae,Lasioglossum,villosulum
iyseltumu.62,16716,1011535,62,0.500559441,57_2,invertebrate,iySelTumu1.1.fa,17,333608526,40.55,Hymenoptera,Halictidae,Seladonia,tumulorum
iyseltumu.281,9400,2628846,281,0.272527219,282_4,invertebrate,iySelTumu1.1.fa,17,333608526,40.55,Hymenoptera,Halictidae,Seladonia,tumulorum
iyseltumu.215,898,190616,213,0.455922901,217_3,invertebrate,iySelTumu1.1.fa,17,333608526,40.55,Hymenoptera,Halictidae,Seladonia,tumulorum
iycoeconi.917,49500,45486634,920,0.574001896,1105_1,invertebrate,iyCoeConi1.1.fa,12,343453480,40.27,Hymenoptera,Megachilidae,Coelioxys,conoideus
iystephae.52,108560,6883359,64,0.516332417,50_2,invertebrate,iyStePhae1.1.fa,17,244895215,38.74,Hymenoptera,Megachilidae,Stelis,phaeoptera
iybomhypn.37,175659,6128000,36,0.271334338,30_2,invertebrate,iyBomHypn1.1.fa,12,269036764,37.35,Hymenoptera,Apidae,Bombus,hypnorum
iynomfabr.100,38153,3772274,100,0.434843165,100_1,invertebrate,iyNomFabr1.1.fa,12,218401540,41.23,Hymenoptera,Apidae,Nomada,fabriciana
iymaceuro.176,18512,3237980,176,0.382291363,176_1,invertebrate,iyMacEuro1.1.fa,11,337527336,38.4,Hymenoptera,Melittidae,Macropis,europaea
iymimdahl.340,9509,3237092,341,0.482355142,348_7,invertebrate,iyMimDahl1.1.fa,18,258744608,39.86,Hymenoptera,Crabronidae,Mimumesa,dahlbomi
iypemlugu.850,26581,22577968,850,0.327908199,1021_2,invertebrate,iyPemLugu1.1.fa,5,313886327,42.52,Hymenoptera,Pemphredonidae,Pemphredon,lugubris
iypemlugu.1124,791,887498,1123,0.39030964,1421_8,invertebrate,iyPemLugu1.1.fa,5,313886327,42.52,Hymenoptera,Pemphredonidae,Pemphredon,lugubris
iypemlugu.852,18868,16052356,852,0.493934535,1058_1,invertebrate,iyPemLugu1.1.fa,5,313886327,42.52,Hymenoptera,Pemphredonidae,Pemphredon,lugubris
iypemlugu.878,4145,3634849,878,0.553270922,1183_12,invertebrate,iyPemLugu1.1.fa,5,313886327,42.52,Hymenoptera,Pemphredonidae,Pemphredon,lugubris
iypemlugu.2328,703,1647539,2345,0.505252512,4922_4,invertebrate,iyPemLugu1.1.fa,5,313886327,42.52,Hymenoptera,Pemphredonidae,Pemphredon,lugubris
iytipfemo.138,7515,1026577,138,0.423903232,138_4,invertebrate,iyTipFemo1.1.fa,12,272678743,43.8,Hymenoptera,Tiphiidae,Tiphia,femorata
iypripert.175,28605,4997024,176,0.429471069,176_4,invertebrate,iyPriPert1.1.fa,15,265837825,45.57,Hymenoptera,Pompilidae,Priocnemis,perturbator
iypripert.188,1845,347969,190,0.465421802,184_3,invertebrate,iyPriPert1.1.fa,15,265837825,45.57,Hymenoptera,Pompilidae,Priocnemis,perturbator
iypripert.228,21494,4881482,228,0.407780491,229_12,invertebrate,iyPriPert1.1.fa,15,265837825,45.57,Hymenoptera,Pompilidae,Priocnemis,perturbator
iypripert.141,12641,1780963,142,0.289357404,141_7,invertebrate,iyPriPert1.1.fa,15,265837825,45.57,Hymenoptera,Pompilidae,Priocnemis,perturbator
iyanonige.350,33919,11807943,349,0.393504962,351_2,invertebrate,iyAnoNige1.1.fa,15,277009058,45.59,Hymenoptera,Pompilidae,Anoplius,nigerrimus
iyvesvulg.2068,1243,2252883,1813,0.302622511,2068_4,invertebrate,iyVesVulg1.1.fa,25,187173957,34.6,Hymenoptera,Vespidae,Vespula,vulgaris
iyapainim.319,32353,10285040,319,0.440015484,318_1,invertebrate,iyApaInim1.hap1.1.fa,10,222561983,42.52,Hymenoptera,Ichneumonidae,Apaeleticus,inimicus
iyvulbima.149,54065,7976335,149,0.380572999,148_2,invertebrate,iyVulBima1.1.fa,13,263925780,42.34,Hymenoptera,Ichneumonidae,Vulgichneumon,bimaculatus
iyvulbima.140,75745,10514011,140,0.426350573,140_1,invertebrate,iyVulBima1.1.fa,13,263925780,42.34,Hymenoptera,Ichneumonidae,Vulgichneumon,bimaculatus
iyarmarma.148,63220,9290578,148,0.427083394,148_1,invertebrate,iyAmbArma2.1.fa,12,205830510,44.3,Hymenoptera,Ichneumonidae,Amblyteles,armatorius
iyophlute.161,21215,3395374,161,0.470604256,162_5,invertebrate,iyOphLute1.1.fa,13,639526494,38.82,Hymenoptera,Ichneumonidae,Ophion,luteus
inchrcarn.165,13418,2198659,165,0.276167683,166_1,invertebrate,inChrCarn1.1.fa,6,527653120,29.16,Neuroptera,Chrysopidae,Chrysoperla,carnea
icptemadi.156,196235,30493445,156,0.245854844,158_1,invertebrate,icPteMadi1.1.fa,19,704920005,31.76,Coleoptera,Carabidae,Pterostichus,madidus
icagofuli.493,78628,38627865,492,0.230723039,503_1,invertebrate,icAgoFuli1.1.fa,19,674904268,31.57,Coleoptera,Carabidae,Agonum,fuliginosum
icnebbrev.137,19128,2607947,137,0.299346323,139_7,invertebrate,icNebBrev1.1.fa,15,208173776,32.62,Coleoptera,Carabidae,Nebria,brevicollis
icnebsali.130,38388,5080614,133,0.304937222,139_2,invertebrate,icNebSali1.1.fa,21,224686194,32.66,Coleoptera,Carabidae,Nebria,salina
iccarprob.205,130427,26670989,205,0.339968507,210_1,invertebrate,icCarProb1.1.fa,14,246619791,34.54,Coleoptera,Carabidae,Carabus,problematicus
icocyolen.165,871960,142902161,165,0.285782904,172_1,invertebrate,icOcyOlen1.1.fa,19,1070483798,32.56,Coleoptera,Staphylinidae,Ocypus,olens
icquelate.474,6965,3297909,474,0.379661991,878_7,invertebrate,icQueLate1.hap1.1.fa,17,711833697,35.52,Coleoptera,Staphylinidae,Quedius,lateralis
icquelate.158,1175,184926,158,0.380412207,173_6,invertebrate,icQueLate1.hap1.1.fa,17,711833697,35.52,Coleoptera,Staphylinidae,Quedius,lateralis
icquelate.245,12392,3016732,244,0.308480948,255_11,invertebrate,icQueLate1.hap1.1.fa,17,711833697,35.52,Coleoptera,Staphylinidae,Quedius,lateralis
icquelate.1058,4851,5130278,1059,0.356846764,1177_5,invertebrate,icQueLate1.hap1.1.fa,17,711833697,35.52,Coleoptera,Staphylinidae,Quedius,lateralis
icquelate.698,8377,5795300,693,0.346878093,800_10,invertebrate,icQueLate1.hap1.1.fa,17,711833697,35.52,Coleoptera,Staphylinidae,Quedius,lateralis
icquelate.1569,1803,2826799,1569,0.419650793,1951_4,invertebrate,icQueLate1.hap1.1.fa,17,711833697,35.52,Coleoptera,Staphylinidae,Quedius,lateralis
icquelate.153,30184,4630961,154,0.299022293,152_2,invertebrate,icQueLate1.hap1.1.fa,17,711833697,35.52,Coleoptera,Staphylinidae,Quedius,lateralis
icquelate.172,2132,364015,172,0.308264053,175_15,invertebrate,icQueLate1.hap1.1.fa,17,711833697,35.52,Coleoptera,Staphylinidae,Quedius,lateralis
icsilatra.115,19223,2195987,115,0.433702435,120_5,invertebrate,icSilAtra2.1.fa,18,1146593402,35.84,Coleoptera,Staphylinidae,Phosphuga,atrata
icsilatra.247,39985,9824557,247,0.352875001,341_2,invertebrate,icNicInve2.1.fa,7,187150796,31.33,Coleoptera,Staphylinidae,Nicrophorus,investigator
icnicinve.179,47195,8401424,179,0.312424401,183_1,invertebrate,icScaQuad2.1.fa,12,1255163595,37.32,Coleoptera,Staphylinidae,Scaphidium,quadrimaculatum
icscaquad.92,463272,41978917,92,0.196091613,86_2,invertebrate,icScaQuad2.1.fa,12,1255163595,37.32,Coleoptera,Staphylinidae,Scaphidium,quadrimaculatum
icscaquad.109,128148,13906169,110,0.378089119,110_1,invertebrate,icScaQuad2.1.fa,12,1255163595,37.32,Coleoptera,Staphylinidae,Scaphidium,quadrimaculatum
iccetaura.168,25625,4272840,168,0.391442409,168_3,invertebrate,icCetAura1.1.fa,11,469104153,34.55,Coleoptera,Scarabaeidae,Cetonia,aurata
icchroric.13,1986884,23329103,13,0.069356771,13_1,invertebrate,icChrOric1.1.fa,22,1422628701,33.88,Coleoptera,Chrysomelidae,Chrysolina,oricalcia
iclepmacu.286,11278,3311281,295,0.33214442,277_1,invertebrate,icLepMacu1.1.fa,10,2002014795,33.69,Coleoptera,Cerambycidae,Rutpela,maculata
icpolcerv.853,5753,4901755,853,0.302709796,967_1,invertebrate,icPolCerv1.1.fa,11,713293779,32.77,Coleoptera,Curculionidae,Polydrusus,cervinus
icapocory.146,19814,2868599,146,0.239474575,147_1,invertebrate,icApoCory1.1.fa,20,422407043,32.76,Coleoptera,Attelabidae,Apoderus,coryli
icadabipu.184,79374,14515783,184,0.311379464,186_1,invertebrate,icAdaBipu1.1.fa,11,449491743,36.17,Coleoptera,Coccinellidae,Adalia,bipunctata
iccocsept.144,60547,8653772,144,0.358273522,145_1,invertebrate,icCocSept1.1.fa,10,398192398,36.41,Coleoptera,Coccinellidae,Coccinella,septempunctata
icharaxyr.274,53856,14708561,274,0.391324479,278_1,invertebrate,icHarAxyr1.1.fa,8,425274714,35.14,Coleoptera,Coccinellidae,Harmonia,axyridis
icharaxyr.197,15589,3055956,197,0.329997899,178_3,invertebrate,icHarAxyr1.1.fa,8,425274714,35.14,Coleoptera,Coccinellidae,Harmonia,axyridis
ichalsede.129,34304,4397423,129,0.364014578,132_2,invertebrate,icHalSede1.1.fa,10,901090794,35.74,Coleoptera,Coccinellidae,Halyzia,sedecimguttata
icmalbipu.129,20075,2545928,128,0.534502851,133_2,invertebrate,icMalBipu1.1.fa,10,535234349,35.49,Coleoptera,Melyridae,Malachius,bipustulatus
icrhafulv.76,938153,70335141,76,0.244312226,76_1,invertebrate,icRhaFulv1.1.fa,7,424519277,30.37,Coleoptera,Cantharidae,Rhagonycha,fulva
iccanrust.339,52219,17651892,339,0.307039694,338_2,invertebrate,icCanRust1.1.fa,7,444627916,30.94,Coleoptera,Cantharidae,Cantharis,rustica
iccanrust.145,161901,23312098,145,0.234253374,152_3,invertebrate,icCanRust1.1.fa,7,444627916,30.94,Coleoptera,Cantharidae,Cantharis,rustica
icagrcyan.150,151027,22477778,150,0.330881928,143_1,invertebrate,icAgrCyan1.1.fa,10,292338215,34.14,Coleoptera,Buprestidae,Agrilus,cyanescens
icagrcyan.172,114423,19622459,172,0.382007359,172_2,invertebrate,icAgrCyan1.1.fa,10,292338215,34.14,Coleoptera,Buprestidae,Agrilus,cyanescens
idbibmarc.100,8370,827785,100,0.261722249,100_3,invertebrate,idBibMarc1.1.fa,6,340009463,25.63,Diptera,Bibionidae,Bibio,marci
idacrorbc.422,2681,1128884,422,0.296082099,455_2,invertebrate,idAcrOrbc1.1.fa,5,214884321,27.21,Diptera,Acroceridae,Acrocera,orbiculus
idacrorbc.815,364,296172,815,0.354130463,853_7,invertebrate,idAcrOrbc1.1.fa,5,214884321,27.21,Diptera,Acroceridae,Acrocera,orbiculus
idathibis.996,13128,12125603,925,0.271906047,1125_4,invertebrate,idAthIbis2.2.fa,5,650099340,32.33,Diptera,Athericidae,Atherix,ibis
idathibis.876,99477,87015644,876,0.38055483,1056_1,invertebrate,idAthIbis2.2.fa,5,650099340,32.33,Diptera,Athericidae,Atherix,ibis
idantanth.386,97634,37731598,387,0.274002073,390_1,invertebrate,idAntAnth1.1.fa,9,294071612,25.02,Diptera,Bombyliidae,Anthrax,anthrax
idantanth.137,20990,2849573,137,0.349067629,135_4,invertebrate,idAntAnth1.1.fa,9,294071612,25.02,Diptera,Bombyliidae,Anthrax,anthrax
idantanth.2231,4887,11461959,2346,0.259036105,2312_3,invertebrate,idAntAnth1.1.fa,9,294071612,25.02,Diptera,Bombyliidae,Anthrax,anthrax
idbomdisc.141,25142,3518695,141,0.474530615,142_4,invertebrate,idBomDisc1.1.fa,6,279505365,25.77,Diptera,Bombyliidae,Bombylius,discolor
idbomdisc.93,53906,4949738,93,0.385157577,132_1,invertebrate,idBomDisc1.1.fa,6,279505365,25.77,Diptera,Bombyliidae,Bombylius,discolor
idbomdisc.97,254525,24426497,97,0.31162017,97_2,invertebrate,idBomDisc1.1.fa,6,279505365,25.77,Diptera,Bombyliidae,Bombylius,discolor
idmacatri.138,2789,381153,138,0.34342795,139_2,invertebrate,idMacAtri3.1.fa,6,264848469,36.11,Diptera,Asilidae,Machimus,atricapillus
idclutigr.193,1201608,230058131,192,0.366964794,196_1,invertebrate,idCluTigr1.1.fa,5,1060759287,38.57,Diptera,Clusiidae,Clusia,tigrina
idclutigr.118,332836,38923729,118,0.573604451,116_5,invertebrate,idCluTigr1.1.fa,5,1060759287,38.57,Diptera,Clusiidae,Clusia,tigrina
idhydcyrt.131,137191,17826284,131,0.353200546,124_1,invertebrate,idHydCyrt1.1.fa,6,574196547,35.14,Diptera,Muscidae,Hydrotaea,cyrtoneurina
idpolamen.164,10828,1759847,164,0.30731697,168_4,invertebrate,idPolAmen1.1.fa,6,1268449752,30.68,Diptera,Polleniidae,Pollenia,amentaria
idepisucc.160,136694,21757988,160,0.32565146,158_1,invertebrate,idEpiSucc1.1.fa,7,396435886,32.77,Diptera,Tachinidae,Epicampocera,succincta
idepisucc.194,33497,6414198,192,0.23828985,199_5,invertebrate,idEpiSucc1.1.fa,7,396435886,32.77,Diptera,Tachinidae,Epicampocera,succincta
idepisucc.165,25133,4104359,164,0.383035255,170_4,invertebrate,idEpiSucc1.1.fa,7,396435886,32.77,Diptera,Tachinidae,Epicampocera,succincta
idepisucc.106,10535,1108643,106,0.224443481,91_8,invertebrate,idEpiSucc1.1.fa,7,396435886,32.77,Diptera,Tachinidae,Epicampocera,succincta
idgymrotn.172,19757,3298214,168,0.336263647,189_5,invertebrate,idGymRotn1.1.fa,6,756257083,30.22,Diptera,Tachinidae,Gymnosoma,rotundatum
idgymrotn.379,6695,2530515,379,0.283111227,397_4,invertebrate,idGymRotn1.1.fa,6,756257083,30.22,Diptera,Tachinidae,Gymnosoma,rotundatum
idbelpand.62,50662,3110947,62,0.135155972,67_1,invertebrate,idBelPand1.1.fa,6,603783692,30.25,Diptera,Calliphoridae,Bellardia,pandia
idphymeln.200,6743,1345148,200,0.273040415,186_7,invertebrate,idPhyMeln1.1.fa,6,739693557,30.14,Diptera,Calliphoridae,Phyto,melanocephala
idphymeln.180,15946,2856243,180,0.330593262,186_1,invertebrate,idPhyMeln1.1.fa,6,739693557,30.14,Diptera,Calliphoridae,Phyto,melanocephala
idphymeln.164,4201,684016,164,0.327147177,166_8,invertebrate,idPhyMeln1.1.fa,6,739693557,30.14,Diptera,Calliphoridae,Phyto,melanocephala
idproazur.109,53492,5781235,109,0.267116213,104_3,invertebrate,idProAzur1.1.fa,7,873782523,27.73,Diptera,Calliphoridae,Protocalliphora,azurea
idproazur.186,42950,7948055,186,0.327279974,189_1,invertebrate,idProAzur1.1.fa,7,873782523,27.73,Diptera,Calliphoridae,Protocalliphora,azurea
iilimauri.164,67393,10940624,163,0.368417403,169_1,invertebrate,iiLimAuri1.1.fa,30,970013784,34.13,Trichoptera,Limnephilidae,Limnephilus,auricula
iilimmarm.205,61594,12579320,205,0.362681169,166_3,invertebrate,iiLimMarm1.1.fa,30,1628920020,35.73,Trichoptera,Limnephilidae,Limnephilus,marmoratus
iilimrhom.187,24055,4464946,187,0.36230038,161_5,invertebrate,iiLimRhom1.1.fa,30,1572227076,35.55,Trichoptera,Limnephilidae,Limnephilus,rhombicus
iilimluna.250,41449,10283505,249,0.35249575,353_2,invertebrate,iiLimLuna2.1.fa,13,1254937204,35,Trichoptera,Limnephilidae,Limnephilus,lunatus
ilpienapi.647,4130,2666618,647,0.36793546,667_2,invertebrate,ilPieNapi4.1.fa,25,319186821,34.03,Lepidoptera,Pieridae,Pieris,napi
ilpienapi.84,44076,3644012,84,0.478327055,79_1,invertebrate,ilPieNapi4.1.fa,25,319186821,34.03,Lepidoptera,Pieridae,Pieris,napi
tzbugstol.227,13057,2949537,227,0.285681951,228_1,invertebrate,tzBugStol2.1.fa,11,234633288,36.99,Bryozoa,Cheilostomatida,Bugulina,stolonifera
tzbugstol.392,3258,1275348,392,0.385218106,394_3,invertebrate,tzBugStol2.1.fa,11,234633288,36.99,Bryozoa,Cheilostomatida,Bugulina,stolonifera
tzmemmemb.334,27483,9155066,334,0.407301793,335_1,invertebrate,tzMemMemb1.1.fa,11,339205801,38.01,Bryozoa,Cheilostomatida,Membranipora,membranacea
tnlinlong.152,11432,1723935,152,0.460729697,152_2,invertebrate,tnLinLong1.2.fa,19,390429616,41.41,Nemertea,Heteronemertea,Lineus,longissimus
wplepclav.211,6276,1323437,212,0.475440248,283_1,invertebrate,wpLepClav1.1.fa,18,999623419,40.71,Annelida,Phyllodocida,Lepidonotus,clava
wplepclav.356,5522,1963573,357,0.470881725,358_2,invertebrate,wpLepClav1.1.fa,18,999623419,40.71,Annelida,Phyllodocida,Lepidonotus,clava
wpalivire.263,13805,3619838,263,0.491663962,278_3,invertebrate,wpAliVire1.1.fa,14,670984160,37.61,Annelida,Phyllodocida,Alitta,virens
wpalivire.465,8031,3728329,465,0.516094999,652_5,invertebrate,wpAliVire1.1.fa,14,670984160,37.61,Annelida,Phyllodocida,Alitta,virens
wpalivire.131,28056,3659384,131,0.317704657,124_10,invertebrate,wpAliVire1.1.fa,14,670984160,37.61,Annelida,Phyllodocida,Alitta,virens
wpalivire.83,19816,1616615,83,0.437501628,84_16,invertebrate,wpAliVire1.1.fa,14,670984160,37.61,Annelida,Phyllodocida,Alitta,virens
xblimfort.33,206166,6590873,33,0.282447637,34_1,invertebrate,xbLimFort5.1.fa,15,1325465116,33.59,Mollusca,Mytilida,Limnoperna,fortunei
xggibmagu.217,69876,15080266,217,0.363889681,218_2,invertebrate,xgGibMagu1.1.fa,18,1463329951,36.47,Mollusca,Trochida,Gibbula,magus
ocsyccili.362,22629,8165921,362,0.441128753,367_1,invertebrate,ocSycCili1.1.fa,13,529569939,47.31,Porifera,Leucosolenida,Sycon,ciliatum
ocsyccili.130,3414,439445,130,0.498637858,135_7,invertebrate,ocSycCili1.1.fa,13,529569939,47.31,Porifera,Leucosolenida,Sycon,ciliatum
jahalocto.58,52420,3007867,58,0.321852284,59_1,invertebrate,jrHalOcto1.1.fa,9,257392333,33.84,Cnidaria,Stauromedusae,Haliclystus,octoradiatus
jaricflor.592,27880,16466560,592,0.347748177,595_1,invertebrate,jaRicFlor1.1.fa,16,540551335,38.47,Cnidaria,Corallimorpharia,Ricordea,florida
jadialine.151,6232,931594,150,0.278006118,152_1,invertebrate,jaDiaLine6.1.fa,16,299848564,35.3,Cnidaria,Actiniaria,Diadumene,lineata
janemvect.541,13281,7167277,541,0.352357941,546_1,invertebrate,jaNemVect1.1.fa,15,268587961,40.72,Cnidaria,Actiniaria,Nematostella,vectensis
eamarglac.487,30679,14917743,487,0.50340947,484_1,invertebrate,eaMarGlac1.2.fa,22,516080225,39.46,Echinodermata,Asteroidea,Marthasterias,glacialis
