fasta	regimentation_max	top_family	HOR_score
icAdaBipu1	3.947	186_1	9.551
icCocSept1	3.03	145_1	2.865
lsIriFoet1	2.894	448_2	0.068
fThuMac1	2.222	127_6	14.166
idBelPand1	1.672	67_1	0.833
inChrCarn1	0.299	166_1	3.289
icRhaFulv1	0	76_1	74.24
idAcrOrbc1	0	455_2	10.474
iyAndDors1	0	178_2	2.053
iyCoeConi1	0	1105_1	0.003
