label	regi	hor	mono_len_bp	sat_gc	genome_gc	genome_mb	chr_n	clade
idmelrora1.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
idphymeln1.1	15.40880503	5.618378539	180	33.0593262	30.14	739.693557	6	Invertebrata
idproazur1.1	17.58593803	1.620692453	109	26.7116213	27.73	873.782523	7	Invertebrata
idstoluna1.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
idsarrose1.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
idhydcyrt1.1	8.331785074	0.981430927	131	35.3200546	35.14	574.196547	6	Invertebrata
idclutigr1.1	8.092485549	0.189763423	192	36.6964794	38.57	1060.759287	5	Invertebrata
idphecory1.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
idsicferr1.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
idsyrpipi1.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
idsphtaen1.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
idpamgerm1.hap1.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
idmacatri3.1	20	19.6919172	138	34.342795	36.11	264.848469	6	Invertebrata
idantanth1.1	14.04125135	0.733200711	387	27.4002073	25.02	294.071612	9	Invertebrata
idbomdisc1.1	4.952830189	0.086591428	97	31.162017	25.77	279.505365	6	Invertebrata
idathibis2.2	75	5.126953993	876	38.055483	32.33	650.09934	5	Invertebrata
idacrorbc1.1	0	10.47411826	422	29.6082099	27.21	214.884321	5	Invertebrata
idbibmarc1.1	90.92063492	70.43585203	100	26.1722249	25.63	340.009463	6	Invertebrata
idnepflae1.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
ilpienapi4.1	NA	NA	84	47.8327055	34.03	319.186821	25	Invertebrata
ilparaegt1.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
ilpyrmalv3.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
ilzeupyri1.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
ilparstra1.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
ilsesbemb1.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
ilhydmica1.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
ilthodeci1.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
ildeiporc1.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
ilbisbetu1.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
ilwatbina1.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
ilagoaren1.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
ilemmmono1.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
ilnotuddm1.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
ilypsscab1.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
iltintrin1.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
ilmicarun2.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
iilimmarm1.1	NA	NA	205	36.2681169	35.73	1628.92002	30	Invertebrata
iilimrhom1.1	NA	NA	187	36.230038	35.55	1572.227076	30	Invertebrata
iilimluna2.1	NA	NA	249	35.249575	35	1254.937204	13	Invertebrata
iiglypell1.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
iilimauri1.1	NA	NA	163	36.8417403	34.13	970.013784	30	Invertebrata
icnebsali1.1	11.83729342	5.769698025	133	30.4937222	32.66	224.686194	21	Invertebrata
icnebbrev1.1	7.199981845	1.263015601	137	29.9346323	32.62	208.173776	15	Invertebrata
icleispin1.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
iccarprob1.1	31.96032657	14.48341625	205	33.9968507	34.54	246.619791	14	Invertebrata
icptemadi1.1	7.34364998	4.593924323	156	24.5854844	31.76	704.920005	19	Invertebrata
icagofuli1.1	86.98597567	48.18419573	492	23.0723039	31.57	674.904268	19	Invertebrata
icophardo1.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
iccanrust1.1	NA	NA	145	23.4253374	30.94	444.627916	7	Invertebrata
icpodalpi1.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
icrhafulv1.1	0	74.24	76	24.4312226	30.37	424.519277	7	Invertebrata
icagrmuri1.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
icagrcyan1.1	13.55085008	1.347234037	150	33.0881928	34.14	292.338215	10	Invertebrata
icchroric1.1	6.573123932	0.343902301	13	6.9356771	33.88	1422.628701	22	Invertebrata
iclepmacu1.1	7.083333333	10.90255728	295	33.214442	33.69	2002.014795	10	Invertebrata
icpolcerv1.1	59.68253968	18.13192078	853	30.2709796	32.77	713.293779	11	Invertebrata
icapocory1.1	9.051956815	8.967235275	146	23.9474575	32.76	422.407043	20	Invertebrata
icmalbipu1.1	6.15344563	4.069151885	128	53.4502851	35.49	535.234349	10	Invertebrata
ichalsede1.1	4.855057932	1.652824634	129	36.4014578	35.74	901.090794	10	Invertebrata
icadabipu1.1	3.946883395	9.55093162	184	31.1379464	36.17	449.491743	11	Invertebrata
iccocsept1.1	3.029826425	2.864933562	144	35.8273522	36.41	398.192398	10	Invertebrata
icharaxyr1.1	16.80271228	9.646237539	274	39.1324479	35.14	425.274714	8	Invertebrata
icpyrserr1.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
icquelate1.hap1.1	29.61750217	37.38616333	154	29.9022293	35.52	711.833697	17	Invertebrata
icphicogn1.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
icocyolen1.1	47.19801778	18.45989076	165	28.5782904	32.56	1070.483798	19	Invertebrata
icsilatra2.1	46.28034072	23.24796182	115	43.3702435	35.84	1146.593402	18	Invertebrata
icnicinve2.1	10.90787467	2.540587997	247	35.2875001	31.33	187.150796	7	Invertebrata
icscaquad2.1	1.495552834	0.2826687	92	19.6091613	37.32	1255.163595	12	Invertebrata
iccetaura1.1	48.85330356	46.86100314	168	39.1442409	34.55	469.104153	11	Invertebrata
icmelmelo1.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
inchrcarn1.1	0.298507463	3.289463874	165	27.6167683	29.16	527.65312	6	Invertebrata
ipisogram3.1	4.712774653	2.777320131	68	53.611368	39.98	831.322058	14	Invertebrata
ipleunigr2.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
ipnempict2.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
ipnemdubi1.1	NA	NA	899	72.1925508	43.52	318.192681	6	Invertebrata
ibectpall1.hap1.1	28.23086284	19.58482098	223	31.0796191	35.37	2057.324107	11	Invertebrata
iglabmino1.1	NA	NA	160	19.4283872	26.19	599.245577	7	Invertebrata
iupsogibb1.1	NA	NA	166	29.1857851	38.36	404.291707	10	Invertebrata
iuloevari1.hap1.1	NA	NA	137	36.8971897	39.12	516.328141	9	Invertebrata
iumesfusc1.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
ihaelacum1.1	NA	NA	152	32.5759994	33.05	1144.246757	8	Invertebrata
ihacahaem1.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
ihicepurc2.1	NA	NA	333	35.7277231	33.44	1098.446509	2	Invertebrata
ioplapenn1.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
ioisceleg1.1	NA	NA	313	32.717628	38.49	1662.899688	14	Invertebrata
ieecdtorr1.1	5.844971636	3.151268185	176	35.6711226	28.5	485.036935	11	Invertebrata
iesipalte2.1	29.31186461	15.62531128	340	30.317145	32.13	446.182156	11	Invertebrata
ieprobifi2.1	14.16827853	11.63133555	157	38.7900252	38.33	197.781101	5	Invertebrata
ieclodipt1.1	9.042684783	6.985079878	72	34.6184881	39.89	187.343755	5	Invertebrata
qedicminu4.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
qeallfusc8.1	27.62360194	7.161119067	145	39.4101145	36.9	386.064509	6	Invertebrata
qeorcflav1.1	6.784610994	1.586720878	136	44.8495775	36.07	273.379426	6	Invertebrata
qelepcurv1.1	NA	NA	726	45.7725178	37.41	200.247165	6	Invertebrata
qxsaccarc1.2	NA	NA	NA	NA	NA	NA	NA	Invertebrata
qqmetbour1.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
nxtricolu2.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
tnlinlong1.2	7.295710372	7.390339278	152	46.0729697	41.41	390.429616	19	Invertebrata
wpalivire1.1	11.18039562	9.398302606	131	31.7704657	37.61	670.98416	14	Invertebrata
wplepclav1.1	70.57374444	58.84116781	212	47.5440248	40.71	999.623419	18	Invertebrata
wpsthlimi1.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
wclumrube1.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
wrpisgeom1.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
xgbioglab47.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
xggibmagu1.1	33.09241567	12.38282897	217	36.3889681	36.47	1463.329951	18	Invertebrata
xgstecine2.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
xgpholine1.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
xgpatpell1.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
xgpatvulg1.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
xbtrigiga4.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
xbtricroc3.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
xbgartell2.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
xblimfort5.1	8.472004672	1.576847532	33	28.2447637	33.59	1325.465116	15	Invertebrata
tzmemmemb1.1	62.44208038	39.45600408	334	40.7301793	38.01	339.205801	11	Invertebrata
tzcrypall5.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
tzbugstol2.1	29.96857421	25.57347983	227	28.5681951	36.99	234.633288	11	Invertebrata
janemvect1.1	7.573964497	25.70186261	541	35.2357941	40.72	268.587961	15	Invertebrata
jadialine6.1	8.666666667	21.46206646	150	27.8006118	35.3	299.848564	16	Invertebrata
jaricflor1.1	52.85178655	21.10709905	592	34.7748177	38.47	540.551335	16	Invertebrata
jrhalocto1.1	7.377258159	3.198185449	58	32.1852284	33.84	257.392333	9	Invertebrata
ocsyccili1.1	28.50170256	17.6839832	362	44.1128753	47.31	529.569939	13	Invertebrata
gfrusvesc1.hap1.1	NA	NA	NA	NA	NA	NA	NA	Fungi
gflacblen1.hap1.1	NA	NA	NA	NA	NA	NA	NA	Fungi
gfhererin3.1	NA	NA	NA	NA	NA	NA	NA	Fungi
gfclafumo1.1	NA	NA	NA	NA	NA	NA	NA	Fungi
gframcorn1.1	NA	NA	NA	NA	NA	NA	NA	Fungi
gfgliirri2.hap1.1	NA	NA	NA	NA	NA	NA	NA	Fungi
gfporcaly1.1	NA	NA	NA	NA	NA	NA	NA	Fungi
gfhygpuni3.1	NA	NA	NA	NA	NA	NA	NA	Fungi
gfagabisp1.1	NA	NA	NA	NA	NA	NA	NA	Fungi
gfchlbrun1.1	NA	NA	NA	NA	NA	NA	NA	Fungi
gfcopmica1.1	NA	NA	NA	NA	NA	NA	NA	Fungi
gfcortriu1.hap1.1	NA	NA	NA	NA	NA	NA	NA	Fungi
gfinoobsi1.1	NA	NA	NA	NA	NA	NA	NA	Fungi
gfagrprae1.1	NA	NA	NA	NA	NA	NA	NA	Fungi
gfamarube1.hap1.1	NA	NA	NA	NA	NA	NA	NA	Fungi
gfvolsurr1.1	NA	NA	NA	NA	NA	NA	NA	Fungi
gflepsord1.hap1.1	NA	NA	NA	NA	NA	NA	NA	Fungi
gftrihemi4.1	NA	NA	NA	NA	NA	NA	NA	Fungi
gfentclyp1.2	NA	NA	NA	NA	NA	NA	NA	Fungi
gfflavelt1.2	NA	NA	NA	NA	NA	NA	NA	Fungi
gfarmosto1.1	NA	NA	NA	NA	NA	NA	NA	Fungi
gfpanstip1.1	NA	NA	NA	NA	NA	NA	NA	Fungi
gfmycgale1.hap1.1	NA	NA	NA	NA	NA	NA	NA	Fungi
gfpleostr1.1	NA	NA	NA	NA	NA	NA	NA	Fungi
gfaurgent2.1	NA	NA	NA	NA	NA	NA	NA	Fungi
gfbutsuba1.1	NA	NA	NA	NA	NA	NA	NA	Fungi
gfbolquer1.1	NA	NA	NA	NA	NA	NA	NA	Fungi
gflaesulp1.1	NA	NA	NA	NA	NA	NA	NA	Fungi
gfspamino1.hap1.1	NA	NA	NA	NA	NA	NA	NA	Fungi
gfganresi1.1	NA	NA	NA	NA	NA	NA	NA	Fungi
gfphaalbo1.hap1.1	NA	NA	NA	NA	NA	NA	NA	Fungi
gftaupull1.1	NA	NA	NA	NA	NA	NA	NA	Fungi
gyleolubr2.1	NA	NA	NA	NA	NA	NA	NA	Fungi
grlepflav1.1	NA	NA	NA	NA	NA	NA	NA	Fungi
grcorfumo1.1	NA	NA	NA	NA	NA	NA	NA	Fungi
grsimlame1.1	NA	NA	NA	NA	NA	NA	NA	Fungi
grtripseu1.1	NA	NA	NA	NA	NA	NA	NA	Fungi
glramsili2.1	NA	NA	NA	NA	NA	NA	NA	Fungi
glclasqua9.2	NA	NA	NA	NA	NA	NA	NA	Fungi
glplaglau9.1	NA	NA	NA	NA	NA	NA	NA	Fungi
glflamari1.1	NA	NA	NA	NA	NA	NA	NA	Fungi
glumbdeus1.1	NA	NA	NA	NA	NA	NA	NA	Fungi
gparaperu1.1	NA	NA	NA	NA	NA	NA	NA	Fungi
glephlana1.1	NA	NA	NA	NA	NA	NA	NA	Fungi
gllicpygm2.1	NA	NA	NA	NA	NA	NA	NA	Fungi
gdrhikalk1.hap1.1	NA	NA	NA	NA	NA	NA	NA	Fungi
gsmetzobe1.1	NA	NA	NA	NA	NA	NA	NA	Fungi
gzmucpiri1.1	NA	NA	NA	NA	NA	NA	NA	Fungi
gzentparv1.1	NA	NA	NA	NA	NA	NA	NA	Fungi
lpschtabe1.hap1.1	NA	NA	58	56.2585388	33.42	520.198065	21	Viridiplantae
lpschtriq1.1	NA	NA	58	59.4237151	35.88	573.013785	21	Viridiplantae
lpschlacu1	NA	NA	179	25.437493	33.18	479.915302	20	Viridiplantae
lpcypfusc1.hap1.1	NA	NA	244	38.3361266	34.37	221.96979	18	Viridiplantae
lpelequin1.1	NA	NA	82	33.8484137	34.8	495.377314	67	Viridiplantae
lpcardepa1.1	NA	NA	81	38.5606019	35.57	699.853091	22	Viridiplantae
lptricesp1.1	NA	NA	NA	NA	NA	NA	NA	Viridiplantae
lpscisylv1.hap1.1	NA	NA	32	38.2129247	34.79	320.572876	31	Viridiplantae
lperiangu1.1	NA	NA	33	40.4344261	35.79	428.626078	29	Viridiplantae
lpjuneffu1.1	36.21601672	9.760904857	152	28.2745221	32.79	238.972964	21	Viridiplantae
lpjunbufo1.hap1.1	52.21093011	10.76548634	153	29.7335189	33.44	757.351878	53	Viridiplantae
lpjunsqua1.hap1.1	30.23205583	8.855850125	158	46.4686305	36.71	318.470165	20	Viridiplantae
lpluzpall1.1	NA	NA	125	30.491806	33.32	337.662232	6	Viridiplantae
lpluzsylv1.1	NA	NA	125	28.4513832	32.04	430.670785	6	Viridiplantae
lphorvulg1.hap1.1	NA	NA	NA	NA	NA	NA	NA	Viridiplantae
lpbroster1.1	NA	NA	NA	NA	NA	NA	NA	Viridiplantae
lppolviri1.hap1.1	NA	NA	NA	NA	NA	NA	NA	Viridiplantae
lphieodor1.hap1.1	NA	NA	NA	NA	NA	NA	NA	Viridiplantae
lppoachai1.hap1.1	NA	NA	NA	NA	NA	NA	NA	Viridiplantae
lpphlprat1.hap1.1	26.84049236	4.248263169	83	38.1278799	45.75	1368.57546	7	Viridiplantae
lpleeoryz1.hap1.1	16.321453	2.934028646	107	44.7827546	44.71	756.775504	24	Viridiplantae
lpphraust1.1	NA	NA	NA	NA	NA	NA	NA	Viridiplantae
lpdigsang1.hap1.1	28.75024816	4.978733262	176	48.255525	45.76	896.99556	18	Viridiplantae
lpspaemer1.hap1.1	NA	NA	NA	NA	NA	NA	NA	Viridiplantae
lsirifoet1.hap1.1	2.894084214	0.068039719	434	28.1960776	40.5	6845.016923	20	Viridiplantae
ldnarossi1.1	NA	NA	NA	NA	NA	NA	NA	Viridiplantae
latrimari1.1	75	20.63957465	1120	48.91313	40.02	1055.183918	24	Viridiplantae
lapotnata1.hap1.1	22.93513559	8.671267117	143	57.0451116	37.29	566.936711	25	Viridiplantae
laapodist1.hap1.1	6.721462998	2.685704193	206	47.5124802	40.32	4284.67878	18	Viridiplantae
laaliplan1.1	61.38344227	15.79257258	496	37.9558013	38.06	9358.377961	7	Viridiplantae
lalemminu1.hap1.1	NA	NA	NA	NA	NA	NA	NA	Viridiplantae
ddpopnigr1.1	23.41180103	2.041530344	143	49.4666705	34.95	413.104843	19	Viridiplantae
ddmerannu1.1	7.707932244	0.198019737	93	40.202842	33.66	447.674853	8	Viridiplantae
ddeuppepu3.1	28.32933505	5.764572592	156	42.1972635	35.48	276.816529	8	Viridiplantae
drailalti1.1	NA	NA	NA	NA	NA	NA	NA	Viridiplantae
drfilulma1.1	NA	NA	NA	NA	NA	NA	NA	Viridiplantae
drpotanse1.1	22.7199114	2.874918561	150	35.3741824	38.01	208.315276	7	Viridiplantae
roscan_s27_v1	38.91754578	24.20099944	158	33.8629393	39.03	2414.07864	35	Viridiplantae
drgeuurba1.1	NA	NA	NA	NA	NA	NA	NA	Viridiplantae
drgeuriva1.hap1.1	61.11044946	19.70681321	159	34.6572138	39.68	1026.047559	21	Viridiplantae
drmaldome5.1	NA	NA	NA	NA	NA	NA	NA	Viridiplantae
drmalsylv7.1	NA	NA	NA	NA	NA	NA	NA	Viridiplantae
drurturen1.1	NA	NA	NA	NA	NA	NA	NA	Viridiplantae
drparjuda1.1	61.45348355	13.79490467	357	30.4735451	37.05	531.872878	13	Viridiplantae
dhcorcolu1.hap1.1	63.07037717	27.24078353	306	47.3770785	36.87	373.487413	11	Viridiplantae
dhalnglut1.1	NA	NA	NA	NA	NA	NA	NA	Viridiplantae
dhquerobu3.1	12.59729323	2.110205647	146	33.5471694	35.56	784.36313	12	Viridiplantae
drastglyc1.1	34.00255716	7.979273402	165	37.6544067	36.82	678.299607	8	Viridiplantae
drtrifrag1.1	22.91666667	3.966411292	163	53.3897381	33.69	511.654535	8	Viridiplantae
drmedarab1.1	21.79418819	12.92963947	169	30.948542	33.88	511.136221	8	Viridiplantae
ddarathal4.1	19.83467744	4.77582992	178	37.7030403	36.38	136.757799	5	Viridiplantae
ddcarhirs1.hap1.1	NA	NA	NA	NA	NA	NA	NA	Viridiplantae
ddbarvulg1.1	32.25520722	4.252062021	383	37.6739487	37.82	245.431741	8	Viridiplantae
drchaangu1.1	61.48586673	15.28616427	220	29.7421628	37.23	633.522186	18	Viridiplantae
dashearve1.1	15.77673115	4.632640656	39	30.5629175	38.37	440.93931	11	Viridiplantae
dasoldulc1.1	NA	NA	NA	NA	NA	NA	NA	Viridiplantae
dalinvulg1.1	46.50051853	14.32168121	249	36.1188753	38.06	756.312191	6	Viridiplantae
damisoron1.1	30.73284772	7.08619624	129	36.1155221	35.7	359.81104	8	Viridiplantae
dascugale1.1	56.18764088	18.84625424	125	28.6180084	33.34	327.661284	15	Viridiplantae
dabalnigr1.1	27.55385936	8.282935244	86	24.5054079	37.54	1186.648255	11	Viridiplantae
dasamnigr1.1	NA	NA	NA	NA	NA	NA	NA	Viridiplantae
ddhotpalu2.hap1.1	30.0437737	2.689314788	167	42.4772419	35.82	1957.79186	11	Viridiplantae
drhedheli1.1	16.42041388	3.945750412	159	36.1331536	32.63	1196.889883	24	Viridiplantae
daarcminu1.1	48.64740116	9.272919567	153	37.7854861	36.53	1902.128499	18	Viridiplantae
dapuldyse1.1	NA	NA	NA	NA	NA	NA	NA	Viridiplantae
datanvulg1.hap2.1	20.18706091	4.877077103	174	32.4567582	35.92	4477.22517	9	NA
dcpoltetr1.hap1.1	28.5780837	5.294396506	136	32.3353113	36.82	1250.027411	32	Viridiplantae
dcspemari1.1	23.30442364	5.332780008	175	30.9889863	37.23	492.047008	18	Viridiplantae
dcmoetrin1.hap1.1	21.52715239	2.80969205	169	24.9783576	36.3	1229.603558	12	Viridiplantae
dcareserp1.hap1.1	23.81239802	4.057727384	169	33.5928906	35.62	709.948659	20	Viridiplantae
dcpolavic1.1	12.46000541	2.127981841	177	34.6482714	39.32	344.772133	10	Viridiplantae
dmbervulg1.1	41.45533067	6.942129801	180	40.5254864	38.47	1285.247151	14	Viridiplantae
dmaquvulg1.hap1.1	30.93097282	5.44578975	329	42.8965095	37.1	292.563876	7	Viridiplantae
dmthaminu1.hap1.1	58.2218557	16.89268896	179	34.6210234	35.92	956.769253	21	Viridiplantae
cbisopulc3.1	NA	NA	NA	NA	NA	NA	NA	Viridiplantae
cbrhylore1.1	NA	NA	NA	NA	NA	NA	NA	Viridiplantae
cbhyltriq8.1	NA	NA	NA	NA	NA	NA	NA	Viridiplantae
cbthutama2.1	NA	NA	NA	NA	NA	NA	NA	Viridiplantae
cbcalcord2.1	NA	NA	NA	NA	NA	NA	NA	Viridiplantae
cbrhyconf1.1	NA	NA	NA	NA	NA	NA	NA	Viridiplantae
cbpolsexa1.1	NA	NA	NA	NA	NA	NA	NA	Viridiplantae
caandhook4.1	NA	NA	NA	NA	NA	NA	NA	Viridiplantae
cssphgirg1.1	NA	NA	NA	NA	NA	NA	NA	Viridiplantae
cjherhutc3.1	NA	NA	NA	NA	NA	NA	NA	Viridiplantae
cmluncruc20.1	NA	NA	NA	NA	NA	NA	NA	Viridiplantae
ucpycprov1.1	NA	NA	NA	NA	NA	NA	NA	Viridiplantae
ucdunprim2.1	NA	NA	NA	NA	NA	NA	NA	Viridiplantae
ucpsebory1.1	NA	NA	NA	NA	NA	NA	NA	Viridiplantae
ucmarcocc1.1	NA	NA	NA	NA	NA	NA	NA	Viridiplantae
