species	n_paralogs	seq_ids
bTaeGut1	3	bTaeGut1_chr_W_000142.1|bTaeGut1_chr_30_000089.1|bTaeGut1_chr_30_000077.1
drMalDome5	3	drMalDome5_chr_1_001959.1|drMalDome5_chr_3_000733.1|drMalDome5_chr_7_002109.1
lpHorVulg1_vulgare	3	lpHorVulg1_vulgare_Chr7_002188.1|lpHorVulg1_vulgare_Chr7_004138.1|lpHorVulg1_vulgare_Chr5_004764.1
dcPolAvic1	3	dcPolAvic1_chr_9_001133.1|dcPolAvic1_chr_7_002442.1|dcPolAvic1_chr_6_001888.1
drFilUlma1	3	drFilUlma1_SUPER_3_002751.1|drFilUlma1_SUPER_5_003094.1|drFilUlma1_SUPER_7_003538.1
icMelMelo1_chunk1	3	icMelMelo1_chunk1_chr_2_007509.1|icMelMelo1_chunk1_chr_2_000315.1|icMelMelo1_chunk1_chr_2_002670.1
drGeuUrba1	3	drGeuUrba1_SUPER_3_003430.1|drGeuUrba1_SUPER_1_001199.1|drGeuUrba1_SUPER_4_001309.1
icCocSept1	2	icCocSept1_chr_9_000347.1|icCocSept1_chr_5_001216.1
drGeuRiva	2	drGeuRiva_ENA|OZ123680|OZ123680.1_001094.1|drGeuRiva_ENA|OZ123678|OZ123678.1_001365.1
laTriMari	2	laTriMari_ENA|OY821770|OY821770.1_001192.1|laTriMari_ENA|OY821779|OY821779.1_001097.1
cbRhyConf	2	cbRhyConf_ENA|OZ259494|OZ259494.1_000729.1|cbRhyConf_ENA|OZ259491|OZ259491.1_000841.1
rosCan_S27_v1	2	rosCan_S27_v1_rescue5|rosCan_S27_v1_rescue6
drUrtUren1	2	drUrtUren1_SUPER_7_000978.1|drUrtUren1_SUPER_7_000167.1
fBarBab1	2	fBarBab1_chr_27_000024.1|fBarBab1_chr_19_000038.1
idPolAmen1	2	idPolAmen1_chr_5_003564.1|idPolAmen1_chr_3_001301.1
dcAreSerp	2	dcAreSerp_ENA|OZ174166|OZ174166.1_000051.1|dcAreSerp_ENA|OZ174158|OZ174158.1_003483.1
icQueLate	2	icQueLate_ENA|OZ202138|OZ202138.1_000096.1|icQueLate_ENA|OZ202138|OZ202138.1_000095.1
cbHylTriq	2	cbHylTriq_ENA|OZ249201|OZ249201.1_003282.1|cbHylTriq_ENA|OZ249204|OZ249204.1_001870.1
dcSpeMari	2	dcSpeMari_ENA|OY804549|OY804549.1_000611.1|dcSpeMari_ENA|OY804556|OY804556.1_000562.1
lpSchTriq	2	lpSchTriq_ENA|OZ060265|OZ060265.1_000418.1|lpSchTriq_ENA|OZ060270|OZ060270.1_001509.1
idStoLuna1	2	idStoLuna1_chr_5_001561.1|idStoLuna1_chr_3_001452.1
lpSchTabe	2	lpSchTabe_ENA|OZ255982|OZ255982.1_001530.1|lpSchTabe_ENA|OZ255977|OZ255977.1_001315.1
lpSpaEmer	2	lpSpaEmer_ENA|OZ243049|OZ243049.1_000484.1|lpSpaEmer_ENA|OZ243057|OZ243057.1_000171.1
icAgrMuri1	2	icAgrMuri1_chr_1_001435.1|icAgrMuri1_chr_X_001432.1
drParJuda1	2	drParJuda1_SUPER_6_000751.1|drParJuda1_SUPER_5_002377.1
idBomDisc1	2	idBomDisc1_chr_5_001452.1|idBomDisc1_chr_3_001611.1
qeAllFusc	2	qeAllFusc_ENA|OX359245|OX359245.1_008527.1|qeAllFusc_ENA|OX359247|OX359247.1_001298.1
laPotNata	2	laPotNata_ENA|OZ242056|OZ242056.1_002267.1|laPotNata_ENA|OZ242055|OZ242055.1_001789.1
drTriFrag1	2	drTriFrag1_SUPER_4_000534.1|drTriFrag1_SUPER_4_003909.1
icNicInve	2	icNicInve_ENA|OY735145|OY735145.1_000124.1|icNicInve_ENA|OY735145|OY735145.1_001118.1
pxEimPrae1	2	pxEimPrae1_rescue8|pxEimPrae1_rescue12
lpEleQuin	2	lpEleQuin_ENA|OZ060309|OZ060309.1_000202.1|lpEleQuin_ENA|OZ060287|OZ060287.1_000589.1
drAilAlti1	2	drAilAlti1_SUPER_1_001962.1|drAilAlti1_SUPER_2_000977.1
ieSipAlte	2	ieSipAlte_ENA|OX463781|OX463781.1_002064.1|ieSipAlte_ENA|OX463780|OX463780.1_001724.1
idCluTigr1	2	idCluTigr1_chr_3_002555.1|idCluTigr1_chr_1_005434.1
idAntAnth	2	idAntAnth_ENA|OZ020118|OZ020118.1_000838.1|idAntAnth_ENA|OZ020117|OZ020117.1_000057.1
dmAquVulg	2	dmAquVulg_ENA|OZ198186|OZ198186.1_002113.1|dmAquVulg_ENA|OZ198186|OZ198186.1_002249.1
idPhyMeln1	2	idPhyMeln1_chr_5_000338.1|idPhyMeln1_chr_3_003265.1
drAstGlyc	2	drAstGlyc_ENA|OY754311|OY754311.1_002329.1|drAstGlyc_ENA|OY754307|OY754307.1_003561.1
daBalNigr1	2	daBalNigr1_SUPER_6_001114.1|daBalNigr1_SUPER_2_003653.1
idHydCyrt	2	idHydCyrt_ENA|OY282516|OY282516.1_003117.1|idHydCyrt_ENA|OY282513|OY282513.1_000785.1
cbPolSexa	2	cbPolSexa_ENA|OZ222686|OZ222686.1_001111.1|cbPolSexa_ENA|OZ222685|OZ222685.1_001054.1
drChaAngu1	2	drChaAngu1_SUPER_4_001038.1|drChaAngu1_SUPER_12_000200.1
tzCryPall5	2	tzCryPall5_rescue12|tzCryPall5_rescue11
cbRhyLore1	2	cbRhyLore1_SUPER_3_001400.1|cbRhyLore1_SUPER_3_003020.1
idMelRora	2	idMelRora_ENA|OY757189|OY757189.1_001146.1|idMelRora_ENA|OY757191|OY757191.1_002937.1
xgPatPell1	2	xgPatPell1_rescue15|xgPatPell1_rescue14
daTanVulg1_GCA_964264315	2	daTanVulg1_GCA_964264315_chr_Chr9_009480.1|daTanVulg1_GCA_964264315_chr_Chr8_000942.1
idBelPand1	2	idBelPand1_chr_4_000362.1|idBelPand1_chr_5_001847.1
idPheCory1	2	idPheCory1_chr_3_002281.1|idPheCory1_chr_4_004047.1
dmBerVulg	2	dmBerVulg_ENA|OY747126|OY747126.1_000149.1|dmBerVulg_ENA|OY747131|OY747131.1_000095.1
qeLepCurv	2	qeLepCurv_ENA|OZ194353|OZ194353.1_000468.1|qeLepCurv_ENA|OZ194356|OZ194356.1_000945.1
lpSchLacu1	2	lpSchLacu1_SUPER_14_001552.1|lpSchLacu1_SUPER_10_000449.1
idNepFlae1	2	idNepFlae1_chr_2_002454.1|idNepFlae1_chr_2_002456.1
lpPhrAust1	2	lpPhrAust1_SUPER_11_001317.1|lpPhrAust1_SUPER_9_001237.1
cbThuTama2	2	cbThuTama2_SUPER_3_000079.1|cbThuTama2_SUPER_8_000860.1
