qseqid	sseqid	pident	length	qlen	slen	evalue	bitscore
xgPatPell1_rescue14	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	46.392	97	102	288	3.03e-28	92.4
xgPatPell1_rescue14	Homo_sapiens_HSAP011513_CENPA_CenpA	47.917	96	102	140	1.92e-26	84.3
jrHalOcto1_rescue18	Danio_rerio_DRER013080_CENPA_CenpA	48.864	88	87	145	9.82e-28	87.0
jrHalOcto1_rescue18	Homo_sapiens_HSAP011513_CENPA_CenpA	48.315	89	87	140	4.14e-25	80.5
jrHalOcto1_rescue18	Mus_musculus_MMUS037970_Cenpa_CenpA	42.529	87	87	134	2.52e-20	67.8
qeOrcFlav_ENA|OZ035954|OZ035954.1_006493.1	Danio_rerio_DRER013080_CENPA_CenpA	38.889	90	146	145	5.01e-18	64.3
qeOrcFlav_ENA|OZ035954|OZ035954.1_006493.1	Homo_sapiens_HSAP011513_CENPA_CenpA	38.372	86	146	140	1.20e-14	55.5
qeOrcFlav_ENA|OZ035954|OZ035954.1_006493.1	Mus_musculus_MMUS037970_Cenpa_CenpA	37.500	72	146	134	5.45e-13	50.8
qeOrcFlav_ENA|OZ035954|OZ035954.1_006488.1	Danio_rerio_DRER013080_CENPA_CenpA	38.202	89	145	145	1.44e-17	63.2
qeOrcFlav_ENA|OZ035954|OZ035954.1_006488.1	Homo_sapiens_HSAP011513_CENPA_CenpA	36.250	80	145	140	1.14e-13	52.8
qeOrcFlav_ENA|OZ035954|OZ035954.1_006488.1	Mus_musculus_MMUS037970_Cenpa_CenpA	31.646	79	145	134	1.06e-12	50.1
qeOrcFlav_ENA|OZ035954|OZ035954.1_003646.1	Danio_rerio_DRER013080_CENPA_CenpA	27.835	97	220	145	1.85e-07	37.0
qeOrcFlav_ENA|OZ035954|OZ035954.1_003646.1	Homo_sapiens_HSAP011513_CENPA_CenpA	33.735	83	220	140	1.12e-06	34.7
fAciRut3_chr_8_000087.1	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	54.098	61	103	288	2.24e-14	55.1
fAciRut3_chr_8_000087.1	Danio_rerio_DRER013080_CENPA_CenpA	44.340	106	103	145	2.98e-13	50.4
fAciRut3_chr_8_000087.1	Homo_sapiens_HSAP011513_CENPA_CenpA	82.609	23	103	140	1.07e-08	38.1
icOcyOlen1_chr_6_000584.1	Danio_rerio_DRER013080_CENPA_CenpA	49.412	85	151	145	4.02e-25	82.8
icOcyOlen1_chr_6_000584.1	Mus_musculus_MMUS037970_Cenpa_CenpA	39.552	134	151	134	9.44e-25	81.6
icOcyOlen1_chr_6_000584.1	Homo_sapiens_HSAP011513_CENPA_CenpA	46.512	86	151	140	1.09e-22	76.6
ibEctPall_ENA|OZ060426|OZ060426.1_002102.1	Danio_rerio_DRER013080_CENPA_CenpA	46.617	133	279	145	1.29e-33	108
ibEctPall_ENA|OZ060426|OZ060426.1_002102.1	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	42.105	133	279	288	1.18e-29	102
ibEctPall_ENA|OZ060426|OZ060426.1_002102.1	Homo_sapiens_HSAP011513_CENPA_CenpA	52.222	90	279	140	1.18e-23	82.4
glEphLana_ENA|OZ220093|OZ220093.1_000567.1	Danio_rerio_DRER013080_CENPA_CenpA	40.244	82	155	145	2.89e-15	57.4
glEphLana_ENA|OZ220093|OZ220093.1_000567.1	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	35.714	84	155	288	6.01e-11	47.0
glEphLana_ENA|OZ220093|OZ220093.1_000567.1	Homo_sapiens_HSAP011513_CENPA_CenpA	36.145	83	155	140	2.67e-09	41.2
icCocSept1_chr_9_000347.1	Danio_rerio_DRER013080_CENPA_CenpA	33.913	115	141	145	5.35e-20	69.3
icCocSept1_chr_9_000347.1	Homo_sapiens_HSAP011513_CENPA_CenpA	36.190	105	141	140	3.49e-18	64.7
icCocSept1_chr_9_000347.1	Mus_musculus_MMUS037970_Cenpa_CenpA	34.862	109	141	134	7.22e-17	60.8
icAdaBipu1_chr_9_001201.1	Danio_rerio_DRER013080_CENPA_CenpA	35.652	115	139	145	2.40e-17	62.4
icAdaBipu1_chr_9_001201.1	Mus_musculus_MMUS037970_Cenpa_CenpA	33.333	111	139	134	3.93e-16	58.9
icAdaBipu1_chr_9_001201.1	Homo_sapiens_HSAP011513_CENPA_CenpA	34.545	110	139	140	7.45e-16	58.5
nxTriColu_ENA|OZ022258|OZ022258.1_000488.1	Homo_sapiens_HSAP011513_CENPA_CenpA	38.060	134	566	140	2.88e-24	86.7
nxTriColu_ENA|OZ022258|OZ022258.1_000488.1	Danio_rerio_DRER013080_CENPA_CenpA	44.792	96	566	145	4.74e-21	77.8
nxTriColu_ENA|OZ022258|OZ022258.1_000488.1	Mus_musculus_MMUS037970_Cenpa_CenpA	45.882	85	566	134	3.71e-19	72.0
kaAplTurb1_chr_15_000177.1	Danio_rerio_DRER013080_CENPA_CenpA	46.207	145	176	145	1.75e-36	112
kaAplTurb1_chr_15_000177.1	Mus_musculus_MMUS037970_Cenpa_CenpA	41.667	132	176	134	3.04e-25	84.0
kaAplTurb1_chr_15_000177.1	Homo_sapiens_HSAP011513_CENPA_CenpA	48.276	87	176	140	3.90e-24	81.3
ipLeuNigr2_chr_4_001830.1	Danio_rerio_DRER013080_CENPA_CenpA	46.721	122	203	145	8.60e-32	101
ipLeuNigr2_chr_4_001830.1	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	43.972	141	203	288	2.15e-30	102
ipLeuNigr2_chr_4_001830.1	Homo_sapiens_HSAP011513_CENPA_CenpA	51.485	101	203	140	1.39e-28	93.6
tzCryPall5_rescue12	Danio_rerio_DRER013080_CENPA_CenpA	60.417	96	148	145	2.65e-42	126
tzCryPall5_rescue12	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	48.148	135	148	288	8.69e-34	108
tzCryPall5_rescue12	Homo_sapiens_HSAP011513_CENPA_CenpA	56.818	88	148	140	1.19e-30	97.1
tzCryPall5_rescue11	Danio_rerio_DRER013080_CENPA_CenpA	58.716	109	181	145	4.01e-45	135
tzCryPall5_rescue11	Homo_sapiens_HSAP011513_CENPA_CenpA	58.242	91	181	140	8.20e-33	103
tzCryPall5_rescue11	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	55.789	95	181	288	1.17e-31	104
qeLepCurv_ENA|OZ194353|OZ194353.1_000468.1	Homo_sapiens_HSAP011513_CENPA_CenpA	52.688	93	194	140	5.24e-30	96.7
qeLepCurv_ENA|OZ194353|OZ194353.1_000468.1	Mus_musculus_MMUS037970_Cenpa_CenpA	42.105	133	194	134	1.40e-28	92.8
qeLepCurv_ENA|OZ194353|OZ194353.1_000468.1	Danio_rerio_DRER013080_CENPA_CenpA	47.368	95	194	145	1.69e-27	90.5
qeOrcFlav_ENA|OZ035957|OZ035957.1_000903.1	Danio_rerio_DRER013080_CENPA_CenpA	48.182	110	143	145	1.26e-32	102
qeOrcFlav_ENA|OZ035957|OZ035957.1_000903.1	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	54.444	90	143	288	2.62e-28	94.4
qeOrcFlav_ENA|OZ035957|OZ035957.1_000903.1	Homo_sapiens_HSAP011513_CENPA_CenpA	51.136	88	143	140	1.06e-27	89.0
qeOrcFlav_ENA|OZ035953|OZ035953.1_002172.1	Danio_rerio_DRER013080_CENPA_CenpA	46.087	115	141	145	3.48e-31	98.2
qeOrcFlav_ENA|OZ035953|OZ035953.1_002172.1	Homo_sapiens_HSAP011513_CENPA_CenpA	54.545	88	141	140	6.19e-30	94.7
qeOrcFlav_ENA|OZ035953|OZ035953.1_002172.1	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	48.077	104	141	288	2.97e-27	91.3
idAcrOrbc_ENA|OX375757|OX375757.1_003946.1	Danio_rerio_DRER013080_CENPA_CenpA	39.726	146	467	145	5.92e-26	91.3
idAcrOrbc_ENA|OX375757|OX375757.1_003946.1	Homo_sapiens_HSAP011513_CENPA_CenpA	41.221	131	467	140	9.40e-24	84.7
idAcrOrbc_ENA|OX375757|OX375757.1_003946.1	Drosophila_melanogaster_DMEL028507_cid-PA_CenpA	42.982	114	467	225	1.92e-22	83.6
idAthIbis_ENA|OY282608|OY282608.2_000202.1	Danio_rerio_DRER013080_CENPA_CenpA	37.755	98	283	145	9.26e-21	74.7
idAthIbis_ENA|OY282608|OY282608.2_000202.1	Homo_sapiens_HSAP011513_CENPA_CenpA	40.566	106	283	140	1.72e-20	73.9
idAthIbis_ENA|OY282608|OY282608.2_000202.1	Drosophila_melanogaster_DMEL028507_cid-PA_CenpA	37.500	104	283	225	8.79e-20	73.9
icNebSali1_chr_X_001400.1	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	43.333	90	158	288	8.14e-17	63.9
icNebSali1_chr_X_001400.1	Homo_sapiens_HSAP011513_CENPA_CenpA	34.694	98	158	140	6.51e-16	58.9
icNebSali1_chr_X_001400.1	Mus_musculus_MMUS037970_Cenpa_CenpA	35.417	96	158	134	2.36e-15	57.4
icNebBrev1_chr_X_000480.1	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	36.735	98	154	288	9.28e-15	57.8
icNebBrev1_chr_X_000480.1	Drosophila_melanogaster_DMEL028507_cid-PA_CenpA	36.000	100	154	225	2.68e-13	53.1
icNebBrev1_chr_X_000480.1	Mus_musculus_MMUS037970_Cenpa_CenpA	28.455	123	154	134	4.77e-13	51.2
icMalBipu1_chr_7_001980.1	Homo_sapiens_HSAP011513_CENPA_CenpA	49.438	89	217	140	2.83e-24	82.8
icMalBipu1_chr_7_001980.1	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	34.839	155	217	288	2.86e-24	85.9
icMalBipu1_chr_7_001980.1	Mus_musculus_MMUS037970_Cenpa_CenpA	42.063	126	217	134	1.58e-23	80.5
ieProBifi_ENA|OZ259029|OZ259029.1_000982.1	Homo_sapiens_HSAP011513_CENPA_CenpA	58.621	87	153	140	1.23e-31	99.8
ieProBifi_ENA|OZ259029|OZ259029.1_000982.1	Danio_rerio_DRER013080_CENPA_CenpA	51.020	98	153	145	1.13e-30	97.4
ieProBifi_ENA|OZ259029|OZ259029.1_000982.1	Mus_musculus_MMUS037970_Cenpa_CenpA	44.286	140	153	134	6.81e-30	95.1
ieCloDipt_ENA|OX451259|OX451259.1_003690.1	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	52.336	107	147	288	3.20e-34	109
ieCloDipt_ENA|OX451259|OX451259.1_003690.1	Danio_rerio_DRER013080_CENPA_CenpA	52.041	98	147	145	6.21e-33	102
ieCloDipt_ENA|OX451259|OX451259.1_003690.1	Homo_sapiens_HSAP011513_CENPA_CenpA	50.000	104	147	140	4.72e-31	97.8
idNepFlae1_chr_2_002456.1	Drosophila_melanogaster_DMEL028507_cid-PA_CenpA	34.545	110	169	225	1.44e-15	60.1
idNepFlae1_chr_2_002456.1	Mus_musculus_MMUS037970_Cenpa_CenpA	31.298	131	169	134	6.88e-14	53.9
idNepFlae1_chr_2_002456.1	Danio_rerio_DRER013080_CENPA_CenpA	37.975	79	169	145	1.18e-13	53.5
idNepFlae1_chr_2_002454.1	Drosophila_melanogaster_DMEL028507_cid-PA_CenpA	38.235	102	169	225	1.16e-17	65.9
idNepFlae1_chr_2_002454.1	Danio_rerio_DRER013080_CENPA_CenpA	40.506	79	169	145	6.37e-16	59.7
idNepFlae1_chr_2_002454.1	Mus_musculus_MMUS037970_Cenpa_CenpA	38.889	72	169	134	1.35e-15	58.5
idAntAnth_ENA|OZ020118|OZ020118.1_000838.1	Drosophila_melanogaster_DMEL028507_cid-PA_CenpA	48.039	102	197	225	1.65e-26	90.1
idAntAnth_ENA|OZ020118|OZ020118.1_000838.1	Danio_rerio_DRER013080_CENPA_CenpA	38.462	117	197	145	7.39e-24	81.3
idAntAnth_ENA|OZ020118|OZ020118.1_000838.1	Homo_sapiens_HSAP011513_CENPA_CenpA	43.750	96	197	140	1.14e-23	80.5
idAntAnth_ENA|OZ020117|OZ020117.1_000057.1	Drosophila_melanogaster_DMEL028507_cid-PA_CenpA	30.667	225	197	225	1.11e-20	74.7
idAntAnth_ENA|OZ020117|OZ020117.1_000057.1	Danio_rerio_DRER013080_CENPA_CenpA	32.432	111	197	145	2.23e-19	69.3
idAntAnth_ENA|OZ020117|OZ020117.1_000057.1	Homo_sapiens_HSAP011513_CENPA_CenpA	39.759	83	197	140	1.50e-17	64.3
idBomDisc1_chr_3_001611.1	Danio_rerio_DRER013080_CENPA_CenpA	37.615	109	123	145	1.46e-26	85.5
idBomDisc1_chr_3_001611.1	Mus_musculus_MMUS037970_Cenpa_CenpA	35.484	124	123	134	3.14e-23	76.6
idBomDisc1_chr_3_001611.1	Homo_sapiens_HSAP011513_CENPA_CenpA	42.857	105	123	140	3.33e-23	77.0
idBomDisc1_chr_5_001452.1	Drosophila_melanogaster_DMEL028507_cid-PA_CenpA	40.187	107	153	225	5.58e-23	79.3
idBomDisc1_chr_5_001452.1	Homo_sapiens_HSAP011513_CENPA_CenpA	41.667	96	153	140	1.34e-20	71.2
idBomDisc1_chr_5_001452.1	Danio_rerio_DRER013080_CENPA_CenpA	36.522	115	153	145	8.41e-20	69.3
idBibMarc1_chr_1_003965.1	Drosophila_melanogaster_DMEL028507_cid-PA_CenpA	52.326	86	193	225	6.25e-26	88.6
idBibMarc1_chr_1_003965.1	Homo_sapiens_HSAP011513_CENPA_CenpA	45.263	95	193	140	5.77e-25	83.6
idBibMarc1_chr_1_003965.1	Mus_musculus_MMUS037970_Cenpa_CenpA	43.023	86	193	134	2.99e-22	76.6
idPamGerm_ENA|OZ271770|OZ271770.1_002373.1	Drosophila_melanogaster_DMEL028507_cid-PA_CenpA	36.364	198	225	225	1.49e-27	93.6
idPamGerm_ENA|OZ271770|OZ271770.1_002373.1	Danio_rerio_DRER013080_CENPA_CenpA	41.346	104	225	145	4.41e-25	85.1
idPamGerm_ENA|OZ271770|OZ271770.1_002373.1	Homo_sapiens_HSAP011513_CENPA_CenpA	50.538	93	225	140	4.46e-25	85.1
idMacAtri3_chr_3_000129.1	Drosophila_melanogaster_DMEL028507_cid-PA_CenpA	37.255	204	219	225	1.86e-28	95.9
idMacAtri3_chr_3_000129.1	Homo_sapiens_HSAP011513_CENPA_CenpA	51.613	93	219	140	9.43e-26	86.7
idMacAtri3_chr_3_000129.1	Danio_rerio_DRER013080_CENPA_CenpA	44.660	103	219	145	1.59e-25	86.3
idSyrPipi1_chr_1_005668.1	Drosophila_melanogaster_DMEL028507_cid-PA_CenpA	37.755	196	213	225	8.34e-30	99.4
idSyrPipi1_chr_1_005668.1	Mus_musculus_MMUS037970_Cenpa_CenpA	51.042	96	213	134	1.49e-24	83.2
idSyrPipi1_chr_1_005668.1	Homo_sapiens_HSAP011513_CENPA_CenpA	49.462	93	213	140	1.63e-24	83.2
idSphTaen1_chr_1_003521.1	Drosophila_melanogaster_DMEL028507_cid-PA_CenpA	33.962	212	206	225	1.88e-28	95.5
idSphTaen1_chr_1_003521.1	Mus_musculus_MMUS037970_Cenpa_CenpA	47.872	94	206	134	6.62e-21	73.2
idSphTaen1_chr_1_003521.1	Homo_sapiens_HSAP011513_CENPA_CenpA	44.086	93	206	140	6.48e-18	65.5
idSphTaen1_chr_3_003127.1	Drosophila_melanogaster_DMEL028507_cid-PA_CenpA	32.710	214	236	225	7.86e-25	86.7
idSphTaen1_chr_3_003127.1	Mus_musculus_MMUS037970_Cenpa_CenpA	42.727	110	236	134	2.37e-21	75.1
idSphTaen1_chr_3_003127.1	Homo_sapiens_HSAP011513_CENPA_CenpA	44.330	97	236	140	2.69e-20	72.4
idSphTaen1_chr_1_004640.1	Drosophila_melanogaster_DMEL028507_cid-PA_CenpA	32.189	233	234	225	2.50e-25	88.2
idSphTaen1_chr_1_004640.1	Mus_musculus_MMUS037970_Cenpa_CenpA	42.593	108	234	134	6.11e-22	76.6
idSphTaen1_chr_1_004640.1	Homo_sapiens_HSAP011513_CENPA_CenpA	43.299	97	234	140	1.73e-20	73.2
idEpiSucc1_chr_1_000420.1	Drosophila_melanogaster_DMEL028507_cid-PA_CenpA	40.268	149	150	225	2.52e-23	80.1
idEpiSucc1_chr_1_000420.1	Homo_sapiens_HSAP011513_CENPA_CenpA	45.455	99	150	140	4.08e-21	72.4
idEpiSucc1_chr_1_000420.1	Danio_rerio_DRER013080_CENPA_CenpA	41.176	102	150	145	4.84e-20	69.7
idCluTigr1_chr_3_002555.1	Drosophila_melanogaster_DMEL028507_cid-PA_CenpA	46.774	62	143	225	4.96e-15	57.8
idCluTigr1_chr_3_002555.1	Mus_musculus_MMUS037970_Cenpa_CenpA	32.540	126	143	134	5.02e-15	56.2
idCluTigr1_chr_3_002555.1	Homo_sapiens_HSAP011513_CENPA_CenpA	40.909	66	143	140	2.43e-14	54.7
idPheCory1_chr_3_002281.1	Drosophila_melanogaster_DMEL028507_cid-PA_CenpA	52.427	103	199	225	1.14e-30	100
idPheCory1_chr_3_002281.1	Homo_sapiens_HSAP011513_CENPA_CenpA	44.000	100	199	140	5.28e-21	73.6
idPheCory1_chr_3_002281.1	Mus_musculus_MMUS037970_Cenpa_CenpA	40.449	89	199	134	7.43e-17	62.4
idSicFerr1_chr_X_001254.1	Drosophila_melanogaster_DMEL028507_cid-PA_CenpA	36.538	208	195	225	5.62e-34	109
idSicFerr1_chr_X_001254.1	Homo_sapiens_HSAP011513_CENPA_CenpA	50.000	92	195	140	8.84e-27	88.6
idSicFerr1_chr_X_001254.1	Mus_musculus_MMUS037970_Cenpa_CenpA	38.571	140	195	134	5.12e-24	81.3
idPheCory1_chr_4_004047.1	Drosophila_melanogaster_DMEL028507_cid-PA_CenpA	37.054	224	193	225	2.32e-34	110
idPheCory1_chr_4_004047.1	Homo_sapiens_HSAP011513_CENPA_CenpA	44.565	92	193	140	4.18e-22	76.3
idPheCory1_chr_4_004047.1	Mus_musculus_MMUS037970_Cenpa_CenpA	34.586	133	193	134	8.15e-18	64.7
idCluTigr1_chr_1_005434.1	Drosophila_melanogaster_DMEL028507_cid-PA_CenpA	43.005	193	230	225	1.93e-38	122
idCluTigr1_chr_1_005434.1	Homo_sapiens_HSAP011513_CENPA_CenpA	48.276	87	230	140	3.59e-21	74.7
idCluTigr1_chr_1_005434.1	Mus_musculus_MMUS037970_Cenpa_CenpA	44.444	90	230	134	4.70e-20	71.6
idHydCyrt_ENA|OY282516|OY282516.1_003117.1	Drosophila_melanogaster_DMEL028507_cid-PA_CenpA	31.579	266	310	225	1.36e-31	106
idHydCyrt_ENA|OY282516|OY282516.1_003117.1	Mus_musculus_MMUS037970_Cenpa_CenpA	42.222	90	310	134	1.44e-21	77.0
idHydCyrt_ENA|OY282516|OY282516.1_003117.1	Homo_sapiens_HSAP011513_CENPA_CenpA	46.341	82	310	140	3.15e-21	76.3
idGymRotn1_chr_4_000249.1	Drosophila_melanogaster_DMEL028507_cid-PA_CenpA	35.981	214	242	225	6.07e-31	103
idGymRotn1_chr_4_000249.1	Homo_sapiens_HSAP011513_CENPA_CenpA	42.529	87	242	140	2.69e-16	62.0
idGymRotn1_chr_4_000249.1	Mus_musculus_MMUS037970_Cenpa_CenpA	40.000	85	242	134	6.83e-14	55.1
idStoLuna1_chr_5_001561.1	Drosophila_melanogaster_DMEL028507_cid-PA_CenpA	37.447	235	299	225	4.23e-35	115
idStoLuna1_chr_5_001561.1	Homo_sapiens_HSAP011513_CENPA_CenpA	46.341	82	299	140	8.64e-17	63.9
idStoLuna1_chr_5_001561.1	Mus_musculus_MMUS037970_Cenpa_CenpA	40.000	85	299	134	1.23e-13	55.1
idSarRose1_chr_5_000019.1	Drosophila_melanogaster_DMEL028507_cid-PA_CenpA	40.625	192	253	225	1.58e-36	118
idSarRose1_chr_5_000019.1	Homo_sapiens_HSAP011513_CENPA_CenpA	47.619	84	253	140	5.31e-20	72.0
idSarRose1_chr_5_000019.1	Mus_musculus_MMUS037970_Cenpa_CenpA	40.909	88	253	134	4.09e-17	64.3
idTacFera2_chr_5_003539.1	Drosophila_melanogaster_DMEL028507_cid-PA_CenpA	40.000	205	243	225	1.43e-40	128
idTacFera2_chr_5_003539.1	Homo_sapiens_HSAP011513_CENPA_CenpA	44.944	89	243	140	4.50e-19	69.3
idTacFera2_chr_5_003539.1	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	30.723	166	243	288	5.04e-17	66.6
idProAzur1_chr_3_003119.1	Drosophila_melanogaster_DMEL028507_cid-PA_CenpA	38.889	216	284	225	2.71e-39	126
idProAzur1_chr_3_003119.1	Mus_musculus_MMUS037970_Cenpa_CenpA	37.302	126	284	134	4.66e-19	70.1
idProAzur1_chr_3_003119.1	Homo_sapiens_HSAP011513_CENPA_CenpA	45.977	87	284	140	5.14e-19	70.1
idBelPand1_chr_5_001847.1	Drosophila_melanogaster_DMEL028507_cid-PA_CenpA	36.818	220	278	225	6.98e-35	114
idBelPand1_chr_5_001847.1	Homo_sapiens_HSAP011513_CENPA_CenpA	41.379	87	278	140	3.36e-17	65.1
idBelPand1_chr_5_001847.1	Mus_musculus_MMUS037970_Cenpa_CenpA	41.860	86	278	134	4.27e-17	64.3
idMelRora_ENA|OY757191|OY757191.1_002937.1	Drosophila_melanogaster_DMEL028507_cid-PA_CenpA	36.475	244	283	225	3.78e-37	120
idMelRora_ENA|OY757191|OY757191.1_002937.1	Homo_sapiens_HSAP011513_CENPA_CenpA	45.977	87	283	140	6.76e-20	72.4
idMelRora_ENA|OY757191|OY757191.1_002937.1	Mus_musculus_MMUS037970_Cenpa_CenpA	45.455	88	283	134	4.99e-19	69.7
idPhyMeln1_chr_5_000338.1	Drosophila_melanogaster_DMEL028507_cid-PA_CenpA	39.565	230	272	225	5.71e-39	125
idPhyMeln1_chr_5_000338.1	Homo_sapiens_HSAP011513_CENPA_CenpA	43.678	87	272	140	8.32e-18	66.6
idPhyMeln1_chr_5_000338.1	Mus_musculus_MMUS037970_Cenpa_CenpA	41.758	91	272	134	1.18e-17	65.9
icPhiCogn1_chr_2_000231.1	Mus_musculus_MMUS037970_Cenpa_CenpA	32.812	128	176	134	2.55e-19	68.6
icPhiCogn1_chr_2_000231.1	Danio_rerio_DRER013080_CENPA_CenpA	37.209	86	176	145	1.13e-18	67.0
icPhiCogn1_chr_2_000231.1	Homo_sapiens_HSAP011513_CENPA_CenpA	33.673	98	176	140	3.08e-17	63.2
icApoCory1_chr_13_000947.1	Danio_rerio_DRER013080_CENPA_CenpA	50.617	81	121	145	1.19e-22	75.5
icApoCory1_chr_13_000947.1	Homo_sapiens_HSAP011513_CENPA_CenpA	44.000	100	121	140	1.27e-22	75.5
icApoCory1_chr_13_000947.1	Mus_musculus_MMUS037970_Cenpa_CenpA	50.617	81	121	134	4.28e-21	71.2
icApoCory1_chr_3_000392.1	Homo_sapiens_HSAP011513_CENPA_CenpA	49.412	85	121	140	1.93e-22	74.7
icApoCory1_chr_3_000392.1	Danio_rerio_DRER013080_CENPA_CenpA	48.780	82	121	145	5.90e-22	73.6
icApoCory1_chr_3_000392.1	Mus_musculus_MMUS037970_Cenpa_CenpA	48.780	82	121	134	2.70e-20	69.3
icApoCory1_chr_16_000686.1	Homo_sapiens_HSAP011513_CENPA_CenpA	40.777	103	121	140	3.20e-22	74.3
icApoCory1_chr_16_000686.1	Danio_rerio_DRER013080_CENPA_CenpA	46.341	82	121	145	6.49e-22	73.6
icApoCory1_chr_16_000686.1	Mus_musculus_MMUS037970_Cenpa_CenpA	47.561	82	121	134	1.57e-19	67.0
icApoCory1_scf_70_000004.1	Danio_rerio_DRER013080_CENPA_CenpA	47.561	82	121	145	5.07e-22	73.9
icApoCory1_scf_70_000004.1	Homo_sapiens_HSAP011513_CENPA_CenpA	39.252	107	121	140	2.25e-21	72.0
icApoCory1_scf_70_000004.1	Mus_musculus_MMUS037970_Cenpa_CenpA	46.914	81	121	134	1.78e-18	64.3
