spA	spB	mya	mean_pct_id	frac_sig	n_hits	group
baccgen	icadabipu	700.334056578	25.04310613275385	0.0	5	Cross-group
baccgen	icagofuli	700.334056553	25.10419292004205	0.0	13	Cross-group
baccgen	icagrcyan	700.334056578	26.43975598585697	0.0	196	Cross-group
baccgen	icapocory	700.334056568	29.26287934133035	0.0	578	Cross-group
baccgen	iccanrust	700.334056578	25.36162383198252	0.0	48	Cross-group
baccgen	iccarprob	700.334056553	25.368593958729367	0.0	53	Cross-group
baccgen	iccetaura	700.334056578	25.10763148908713	0.0	15	Cross-group
baccgen	iccocsept	700.334056578	27.6425878511045	0.0	430	Cross-group
baccgen	ichalsede	700.334056573	28.497123215087456	0.0	562	Cross-group
baccgen	icharaxyr	700.334056578	25.47974679324149	0.0	62	Cross-group
baccgen	iclepmacu	700.334056568	25.14240993596577	0.0	17	Cross-group
baccgen	icmalbipu	700.334056573	25.30125866490749	0.0	48	Cross-group
baccgen	icnebbrev	700.334056553	27.14941137563482	0.0	351	Cross-group
baccgen	icnebsali	700.334056553	25.633797176235525	0.0	94	Cross-group
baccgen	icnicinve	700.334056578	25.135089000638636	0.0	18	Cross-group
baccgen	icocyolen	700.334056573	25.33757271577447	0.0	43	Cross-group
baccgen	icpolcerv	700.334056568	25.393533157758583	0.0	51	Cross-group
baccgen	icptemadi	700.334056553	26.807451925410195	0.0	261	Cross-group
baccgen	icquelate	700.334056573	28.891381170635977	0.0	505	Cross-group
baccgen	icrhafulv	700.334056578	25.085084194904027	0.0	12	Cross-group
baccgen	icscaquad	700.334056578	25.36004658650721	0.0	56	Cross-group
baccgen	icsilatra	700.334056578	26.53070992900602	0.0	185	Cross-group
baccgen	idacrorbc	700.334056618	27.127458660193994	0.0	251	Cross-group
baccgen	idantanth	700.334056548	26.679732380333483	0.0	239	Cross-group
baccgen	idathibis	700.334056618	26.24986500836913	0.0	155	Cross-group
baccgen	idbelpand	700.334056583	25.265959044245367	0.0	42	Cross-group
baccgen	idbibmarc	700.334056578	25.0447351391658	0.0	6	Cross-group
baccgen	idbomdisc	700.334056548	28.069487833911783	0.0	429	Cross-group
baccgen	idclutigr	700.334056578	25.56897403442025	0.0	75	Cross-group
baccgen	idepisucc	700.3340565880001	28.74169125805918	0.0	565	Cross-group
baccgen	idgymrotn	700.3340565880001	28.69403017608161	0.0	501	Cross-group
baccgen	idhydcyrt	700.334056568	28.01081671140627	0.0	363	Cross-group
baccgen	idmacatri	700.334056578	27.956947375461517	0.0	391	Cross-group
baccgen	idphymeln	700.334056583	29.419019191752856	0.0	590	Cross-group
baccgen	idpolamen	700.3340565880001	27.870673449036044	0.0	401	Cross-group
baccgen	idproazur	700.334056583	26.44568666263042	0.0	209	Cross-group
baccgen	ieclodipt	700.334056535	25.26381505272721	0.0	37	Cross-group
baccgen	ieecdtorr	700.334056535	27.034154613028495	0.0	238	Cross-group
baccgen	ieprobifi	700.334056535	28.228838180309868	0.0	464	Cross-group
baccgen	iesipalte	700.334056535	29.044245073857716	0.0	579	Cross-group
baccgen	iilimluna	700.334056573	25.92047394028469	0.0	125	Cross-group
baccgen	iilimmarm	700.334056573	26.41015448073037	0.0	180	Cross-group
baccgen	iilimrhom	700.334056573	26.246684880818755	0.0	170	Cross-group
baccgen	inchrcarn	700.3340565880001	25.988482949552743	0.0	126	Cross-group
baccgen	ipisogram	700.3340565880001	28.418386656404216	0.0	346	Cross-group
baccgen	ipnemdubi	700.334056578	33.19047089559595	0.0	985	Cross-group
baccgen	iyabicand	700.3340565630001	27.77895982445421	0.0	437	Cross-group
baccgen	iyambarma	700.334056573	26.681867666655748	0.0	272	Cross-group
baccgen	iyanddors	700.334056578	27.962790863400063	0.0	399	Cross-group
baccgen	iyanonige	700.334056593	25.393043139524156	0.0	51	Cross-group
baccgen	iyapainim	700.334056578	29.7936862801816	0.0	631	Cross-group
baccgen	iyathrosa	700.334056558	27.203847598919143	0.0	370	Cross-group
baccgen	iybomhypn	700.334056593	25.015486715256007	0.0	2	Cross-group
baccgen	iycoeconi	700.334056578	25.514055111093622	0.0	62	Cross-group
baccgen	iyectcont	700.334056573	26.080619452824283	0.0	164	Cross-group
baccgen	iylasvill	700.334056573	25.747940018886226	0.0	102	Cross-group
baccgen	iymacalbo	700.334056573	28.912789126200725	0.0	598	Cross-group
baccgen	iymaceuro	700.334056578	25.17049979209478	0.0	23	Cross-group
baccgen	iymimdahl	700.334056593	25.098486850480647	0.0	13	Cross-group
baccgen	iynomfabr	700.334056593	25.45969591076238	0.0	66	Cross-group
baccgen	iynysspin	700.334056573	28.559061370636723	0.0	541	Cross-group
baccgen	iyophlute	700.334056598	25.222205236543036	0.0	30	Cross-group
baccgen	iypemlugu	700.334056578	25.38818350982078	0.0	52	Cross-group
baccgen	iypripert	700.334056593	25.481603665415648	0.0	63	Cross-group
baccgen	iyseltumu	700.334056573	25.538640796248814	0.0	80	Cross-group
baccgen	iystephae	700.334056578	30.631434021911097	0.0	785	Cross-group
baccgen	iytipfemo	700.334056613	25.567066938708063	0.0	86	Cross-group
baccgen	iyvesvulg	700.334056563	27.80087350648334	0.0	358	Cross-group
baccgen	iyvulbima	700.334056573	26.6670196157943	0.0	244	Cross-group
baccgen	jadialine	785.8284400699999	28.377897979936375	0.0	504	Cross-group
baccgen	janemvect	785.8284400699999	25.154703670762814	0.0	20	Cross-group
baccgen	jaricflor	785.8284401200001	25.565597196249417	0.0	70	Cross-group
baccgen	jrhalocto	785.8284401200001	27.92595970684296	0.0	412	Cross-group
baccgen	kaaplturb	524.4629849	28.99226598388303	0.0	547	Cross-group
baccgen	laaliplan	1341.4832901300001	25.480111421923024	0.0	62	Cross-group
baccgen	laapodist	1341.483290135	25.67390787426919	0.0	99	Cross-group
baccgen	lapotnata	1341.483290135	29.591008618200146	0.0	638	Cross-group
baccgen	latrimari	1341.483290135	31.853885454663263	0.0	813	Cross-group
baccgen	lpcardepa	1341.4832901300001	26.107633547775173	0.0	149	Cross-group
baccgen	lpcypfusc	1341.4832901290001	25.242373121441894	0.0	33	Cross-group
baccgen	lpdigsang	1341.4832901300001	27.29891433717857	0.0	288	Cross-group
baccgen	lpelequin	1341.4832901245	28.719372303400093	0.0	576	Cross-group
baccgen	lperiangu	1341.4832901275	28.315255704652216	0.0	494	Cross-group
baccgen	lpjunbufo	1341.4832901300001	28.062169110878934	0.0	466	Cross-group
baccgen	lpjuneffu	1341.4832901300001	26.824936401631117	0.0	251	Cross-group
baccgen	lpjunsqua	1341.4832901300001	28.464367696616968	0.0	420	Cross-group
baccgen	lpleeoryz	1341.4832901300001	25.69760520284622	0.0	98	Cross-group
baccgen	lpluzpall	1341.4832901250002	28.77168073395389	0.0	555	Cross-group
baccgen	lpluzsylv	1341.4832901250002	28.348141350941507	0.0	530	Cross-group
baccgen	lpphlprat	1341.4832901280001	26.409633834024277	0.0	209	Cross-group
baccgen	lpschlacu	1341.4832901265	27.168027223363644	0.0	335	Cross-group
baccgen	lpschtabe	1341.4832901265	27.07773521183193	0.0	322	Cross-group
baccgen	lpschtriq	1341.4832901265	25.96656604178733	0.0	136	Cross-group
baccgen	lsirifoet	1341.4832901300001	31.390887260947046	0.0	813	Cross-group
baccgen	mcanlor	321.31119018000004	27.483629573452003	0.0	301	Vertebrates
baccgen	mcerela	321.31119018000004	26.37254690572665	0.0	176	Vertebrates
baccgen	mdicbic	321.31119018000004	25.3299577197437	0.0	44	Vertebrates
baccgen	melemax	321.31119018000004	30.440850995789432	0.0	631	Vertebrates
baccgen	mlemcat	321.31119019	28.11023395893796	0.0	496	Vertebrates
baccgen	mmelmel	321.31119018000004	30.51583173804257	0.0	694	Vertebrates
baccgen	morcorc	321.31119018000004	26.06805712685838	0.0	133	Vertebrates
baccgen	ocsyccili	871.3228237000001	26.15566131787076	0.0	157	Cross-group
baccgen	qeallfusc	700.33405658	29.748178448335487	0.0	719	Cross-group
baccgen	qelepcurv	700.33405658	25.24861591778085	0.0	32	Cross-group
baccgen	qeorcflav	700.33405658	30.43995873743928	0.0	766	Cross-group
baccgen	roscan_s	1341.483290133	28.67443343015397	0.0	460	Cross-group
baccgen	rviplat	286.66870526	25.420654034439963	0.0	56	Vertebrates
baccgen	tnlinlong	700.33405655	26.18919421861492	0.0	167	Cross-group
baccgen	tzbugstol	700.334056555	25.866826650580823	0.0	127	Cross-group
baccgen	tzmemmemb	700.334056555	30.01632903925867	0.0	623	Cross-group
baccgen	wpalivire	700.33405656	27.945878449289424	0.0	427	Cross-group
baccgen	wplepclav	700.33405656	25.03093564055544	0.0	4	Cross-group
baccgen	xblimfort	700.334056595	25.39242051845436	0.0	77	Cross-group
baccgen	xggibmagu	700.3340565850001	25.755652822548345	0.0	92	Cross-group
bcorhaw	bfalbia	62.203761867	25.245167566082877	0.0	192	Vertebrates
bcorhaw	bfalche	62.203761867	25.12496939872376	0.0	100	Vertebrates
bcorhaw	bfalper	62.203761867	25.277075216006697	0.0	227	Vertebrates
bcorhaw	bgalgal	93.33076962	25.68503435698588	0.0	733	Vertebrates
bcorhaw	blagmut	93.33076962	27.11232670392948	0.212	746	Vertebrates
bcorhaw	bporhoc	62.20376187	26.391669104744032	0.0	726	Vertebrates
bcorhaw	daarcminu	1341.483290135	25.2396018272196	0.0	126	Cross-group
bcorhaw	dabalnigr	1341.483290135	25.014887664555012	0.0	12	Cross-group
bcorhaw	dalinvulg	1341.48329014	25.147150559241528	0.0	123	Cross-group
bcorhaw	damisoron	1341.48329014	25.950462985482016	0.0	745	Cross-group
bcorhaw	dascugale	1341.483290135	25.370650607386622	0.0	170	Cross-group
bcorhaw	dashearve	1341.483290135	25.31433640504072	0.0	367	Cross-group
bcorhaw	datanvulg	1341.483290135	25.039115428671334	0.0	36	Cross-group
bcorhaw	dcareserp	1341.483290135	25.081174311830488	0.0	33	Cross-group
bcorhaw	dcmoetrin	1341.483290135	25.02023778716042	0.0	13	Cross-group
bcorhaw	dcpolavic	1341.483290135	25.25526459780585	0.0	190	Cross-group
bcorhaw	dcpoltetr	1341.483290135	25.13035062232177	0.0	105	Cross-group
bcorhaw	dcspemari	1341.483290135	25.16289042607311	0.0	119	Cross-group
bcorhaw	ddarathal	1341.483290138	25.46640346487396	0.01	198	Cross-group
bcorhaw	ddbarvulg	1341.483290137	25.40971235849014	0.0	242	Cross-group
bcorhaw	ddeuppepu	1341.4832901305	25.438195531826903	0.0	266	Cross-group
bcorhaw	ddhotpalu	1341.483290135	25.113140793638284	0.0	71	Cross-group
bcorhaw	ddmerannu	1341.4832901305	25.73233105379859	0.0	619	Cross-group
bcorhaw	ddpopnigr	1341.4832901355	25.73512911927864	0.0	623	Cross-group
bcorhaw	dhcorcolu	1341.4832901325	25.16070884911141	0.0	88	Cross-group
bcorhaw	dhquerobu	1341.4832901375	25.336951562508933	0.0	226	Cross-group
bcorhaw	dmaquvulg	1341.4832901300001	25.346147328020407	0.0	266	Cross-group
bcorhaw	dmbervulg	1341.4832901300001	25.17436718497619	0.0	88	Cross-group
bcorhaw	dmthaminu	1341.4832901300001	25.10984540090178	0.0	94	Cross-group
bcorhaw	drastglyc	1341.4832901375	25.658804447044663	0.0	562	Cross-group
bcorhaw	drchaangu	1341.483290138	25.337768742981787	0.0	205	Cross-group
bcorhaw	drgeuriva	1341.4832901335	25.069486189212338	0.0	60	Cross-group
bcorhaw	drhedheli	1341.483290135	25.524047891770888	0.0	389	Cross-group
bcorhaw	drmedarab	1341.4832901375	25.008553005039005	0.0	6	Cross-group
bcorhaw	drparjuda	1341.483290135	25.155819543705967	0.0	128	Cross-group
bcorhaw	drpotanse	1341.483290133	25.455708597983005	0.0	329	Cross-group
bcorhaw	drtrifrag	1341.4832901375	25.425852037355916	0.0	409	Cross-group
bcorhaw	eamarglac	612.39852072	25.115882548154783	0.0	64	Cross-group
bcorhaw	falosap	436.52744905000003	25.02404552067789	0.0	15	Vertebrates
bcorhaw	fbarbab	436.52744906500004	25.423245463221267	0.0	311	Vertebrates
bcorhaw	fdanrer	436.52744906500004	25.56409626347341	0.0	551	Vertebrates
bcorhaw	fphogun	436.52744906500004	25.29195344837339	0.0	233	Vertebrates
bcorhaw	ftaubub	436.52744906500004	25.054978031290585	0.0	48	Vertebrates
bcorhaw	fthualb	436.52744906450005	26.0322521531767	0.0	759	Vertebrates
bcorhaw	fthumac	436.52744906450005	25.62917639618271	0.0	552	Vertebrates
bcorhaw	ftratra	436.52744906500004	25.40453160638384	0.0	266	Vertebrates
bcorhaw	ibectpall	700.3340565880001	25.488431839206736	0.0	460	Cross-group
bcorhaw	icadabipu	700.334056578	25.05075529984272	0.0	40	Cross-group
bcorhaw	icagofuli	700.334056553	25.01960420905952	0.0	10	Cross-group
bcorhaw	icagrcyan	700.334056578	25.183196361479744	0.0	94	Cross-group
bcorhaw	icapocory	700.334056568	25.019679454027436	0.0	13	Cross-group
bcorhaw	iccanrust	700.334056578	25.0179420580164	0.0	10	Cross-group
bcorhaw	iccarprob	700.334056553	25.063001413451587	0.0	43	Cross-group
bcorhaw	iccetaura	700.334056578	25.00929973719716	0.0	8	Cross-group
bcorhaw	iccocsept	700.334056578	25.129800953160103	0.0	94	Cross-group
bcorhaw	ichalsede	700.334056573	25.82039824943326	0.003	622	Cross-group
bcorhaw	icharaxyr	700.334056578	25.171341695549817	0.0	102	Cross-group
bcorhaw	iclepmacu	700.334056568	25.0708196496586	0.0	65	Cross-group
bcorhaw	icmalbipu	700.334056573	25.520792068227124	0.0	352	Cross-group
bcorhaw	icnebbrev	700.334056553	25.506805192155625	0.0	488	Cross-group
bcorhaw	icnebsali	700.334056553	25.00727842786804	0.0	6	Cross-group
bcorhaw	icnicinve	700.334056578	25.11296198264887	0.0	82	Cross-group
bcorhaw	icocyolen	700.334056573	25.02197474756121	0.0	12	Cross-group
bcorhaw	icpolcerv	700.334056568	25.087343690061036	0.0	40	Cross-group
bcorhaw	icptemadi	700.334056553	25.025976396729654	0.0	10	Cross-group
bcorhaw	icquelate	700.334056573	25.67987113700416	0.003	554	Cross-group
bcorhaw	icrhafulv	700.334056578	25.002930757570407	0.0	2	Cross-group
bcorhaw	icscaquad	700.334056578	25.08545197245645	0.0	62	Cross-group
bcorhaw	icsilatra	700.334056578	25.225156667248243	0.0	111	Cross-group
bcorhaw	idacrorbc	700.334056618	25.094823018402103	0.0	69	Cross-group
bcorhaw	idantanth	700.334056548	25.028796172700638	0.0	16	Cross-group
bcorhaw	idathibis	700.334056618	25.592132890711596	0.015	27	Cross-group
bcorhaw	idbelpand	700.334056583	25.005733919630977	0.0	4	Cross-group
bcorhaw	idbibmarc	700.334056578	25.0	0.0	0	Cross-group
bcorhaw	idbomdisc	700.334056548	25.446015635092287	0.0	446	Cross-group
bcorhaw	idclutigr	700.334056578	25.9997035879753	0.0	798	Cross-group
bcorhaw	idepisucc	700.3340565880001	25.22706473127876	0.0	136	Cross-group
bcorhaw	idgymrotn	700.3340565880001	25.60935656914121	0.0	573	Cross-group
bcorhaw	idhydcyrt	700.334056568	25.102334003876308	0.0	71	Cross-group
bcorhaw	idmacatri	700.334056578	25.065237710163167	0.0	45	Cross-group
bcorhaw	idphymeln	700.334056583	25.27630229444864	0.0	204	Cross-group
bcorhaw	idpolamen	700.3340565880001	25.018221145994563	0.0	13	Cross-group
bcorhaw	idproazur	700.334056583	25.115803465213823	0.0	83	Cross-group
bcorhaw	ieclodipt	700.334056535	25.085575823342275	0.0	44	Cross-group
bcorhaw	ieecdtorr	700.334056535	25.319053908112945	0.0	262	Cross-group
bcorhaw	ieprobifi	700.334056535	25.300156713343227	0.0	240	Cross-group
bcorhaw	iesipalte	700.334056535	25.353132874449933	0.0	283	Cross-group
bcorhaw	iilimluna	700.334056573	25.31031860321857	0.0	200	Cross-group
bcorhaw	iilimmarm	700.334056573	25.39962256510366	0.0	259	Cross-group
bcorhaw	iilimrhom	700.334056573	25.21121988172594	0.0	129	Cross-group
bcorhaw	inchrcarn	700.3340565880001	25.011431992479466	0.0	9	Cross-group
bcorhaw	ipisogram	700.3340565880001	25.838416191373398	0.0	619	Cross-group
bcorhaw	ipnemdubi	700.334056578	25.597372704502277	0.0	335	Cross-group
bcorhaw	iyabicand	700.3340565630001	25.092110169212127	0.0	47	Cross-group
bcorhaw	iyambarma	700.334056573	25.15946394425977	0.0	120	Cross-group
bcorhaw	iyanddors	700.334056578	25.15123926046047	0.0	119	Cross-group
bcorhaw	iyanonige	700.334056593	25.344060417127952	0.0	260	Cross-group
bcorhaw	iyapainim	700.334056578	25.093733105045548	0.0	62	Cross-group
bcorhaw	iyathrosa	700.334056558	25.53353447065194	0.0	521	Cross-group
bcorhaw	iybomhypn	700.334056593	25.010856758913796	0.0	6	Cross-group
bcorhaw	iycoeconi	700.334056578	25.021185180826944	0.0	11	Cross-group
bcorhaw	iyectcont	700.334056573	25.03740358740693	0.0	23	Cross-group
bcorhaw	iylasvill	700.334056573	25.962387587928845	0.004	460	Cross-group
bcorhaw	iymacalbo	700.334056573	25.03262559003325	0.0	18	Cross-group
bcorhaw	iymaceuro	700.334056578	25.104022423124427	0.0	62	Cross-group
bcorhaw	iymimdahl	700.334056593	25.095357155978665	0.0	85	Cross-group
bcorhaw	iynomfabr	700.334056593	25.10730749866879	0.0	99	Cross-group
bcorhaw	iynysspin	700.334056573	25.0466097597046	0.0	35	Cross-group
bcorhaw	iyophlute	700.334056598	25.58956083837164	0.0	575	Cross-group
bcorhaw	iypemlugu	700.334056578	25.306203337919964	0.0	183	Cross-group
bcorhaw	iypripert	700.334056593	25.115298610464496	0.0	70	Cross-group
bcorhaw	iyseltumu	700.334056573	25.0728113835314	0.0	55	Cross-group
bcorhaw	iystephae	700.334056578	25.803266798424666	0.0	791	Cross-group
bcorhaw	iytipfemo	700.334056613	25.346854459301277	0.0	320	Cross-group
bcorhaw	iyvesvulg	700.334056563	25.95174590821729	0.015	650	Cross-group
bcorhaw	iyvulbima	700.334056573	25.10651469889644	0.0	75	Cross-group
bcorhaw	jadialine	785.8284400699999	25.11151460995382	0.0	101	Cross-group
bcorhaw	janemvect	785.8284400699999	25.052605001042707	0.0	28	Cross-group
bcorhaw	jaricflor	785.8284401200001	25.219648199689093	0.0	142	Cross-group
bcorhaw	jrhalocto	785.8284401200001	25.11945408421456	0.0	76	Cross-group
bcorhaw	kaaplturb	524.4629849	25.291965707173198	0.0	167	Cross-group
bcorhaw	laaliplan	1341.4832901300001	25.19482875404509	0.0	157	Cross-group
bcorhaw	laapodist	1341.483290135	25.1395988650358	0.0	100	Cross-group
bcorhaw	lapotnata	1341.483290135	25.120171929716133	0.0	103	Cross-group
bcorhaw	latrimari	1341.483290135	27.02262364491034	0.025	954	Cross-group
bcorhaw	lpcardepa	1341.4832901300001	25.754575930264075	0.0	741	Cross-group
bcorhaw	lpcypfusc	1341.4832901290001	25.28792069313232	0.0	206	Cross-group
bcorhaw	lpdigsang	1341.4832901300001	25.26559196401724	0.0	215	Cross-group
bcorhaw	lpelequin	1341.4832901245	25.891740994780957	0.0	775	Cross-group
bcorhaw	lperiangu	1341.4832901275	25.4878871684442	0.0	400	Cross-group
bcorhaw	lpjunbufo	1341.4832901300001	25.18158535005641	0.0	149	Cross-group
bcorhaw	lpjuneffu	1341.4832901300001	25.643239205227744	0.0	497	Cross-group
bcorhaw	lpjunsqua	1341.4832901300001	25.321350511454902	0.0	266	Cross-group
bcorhaw	lpleeoryz	1341.4832901300001	25.44181977837877	0.0	356	Cross-group
bcorhaw	lpluzpall	1341.4832901250002	25.095037772341687	0.0	74	Cross-group
bcorhaw	lpluzsylv	1341.4832901250002	25.16089385855323	0.0	111	Cross-group
bcorhaw	lpphlprat	1341.4832901280001	25.253537664174324	0.0	246	Cross-group
bcorhaw	lpschlacu	1341.4832901265	25.37056097379617	0.0	287	Cross-group
bcorhaw	lpschtabe	1341.4832901265	25.677925602194176	0.0	694	Cross-group
bcorhaw	lpschtriq	1341.4832901265	25.281466114429985	0.0	177	Cross-group
bcorhaw	lsirifoet	1341.4832901300001	25.375418452207327	0.0	307	Cross-group
bcorhaw	mcanlor	321.31119018000004	25.32519306092613	0.0	155	Vertebrates
bcorhaw	mcerela	321.31119018000004	25.60854748382312	0.0	562	Vertebrates
bcorhaw	mdicbic	321.31119018000004	25.669174505744305	0.0	572	Vertebrates
bcorhaw	melemax	321.31119018000004	25.335377731801437	0.0	162	Vertebrates
bcorhaw	mlemcat	321.31119019	25.84702868464866	0.212	240	Vertebrates
bcorhaw	mmelmel	321.31119018000004	26.18075648467053	0.0	773	Vertebrates
bcorhaw	morcorc	321.31119018000004	26.82925015998273	0.213	768	Vertebrates
bcorhaw	ocsyccili	871.3228237000001	25.474406401151636	0.0	411	Cross-group
bcorhaw	qeallfusc	700.33405658	25.26453121042376	0.0	148	Cross-group
bcorhaw	qelepcurv	700.33405658	25.212068312345217	0.0	131	Cross-group
bcorhaw	qeorcflav	700.33405658	25.084389426768496	0.0	68	Cross-group
bcorhaw	roscan_s	1341.483290133	25.74368797951685	0.0	583	Cross-group
bcorhaw	rviplat	286.66870526	25.22438883047124	0.0	126	Vertebrates
bcorhaw	tnlinlong	700.33405655	25.245081433281705	0.0	179	Cross-group
bcorhaw	tzbugstol	700.334056555	25.135826239104617	0.0	65	Cross-group
bcorhaw	tzmemmemb	700.334056555	25.084834274176785	0.0	61	Cross-group
bcorhaw	wpalivire	700.33405656	25.435569998955327	0.0	313	Cross-group
bcorhaw	wplepclav	700.33405656	25.027705449178384	0.0	16	Cross-group
bcorhaw	xblimfort	700.334056595	25.42785844568792	0.0	447	Cross-group
bcorhaw	xggibmagu	700.3340565850001	25.39840497406946	0.0	290	Cross-group
bfalbia	bfalche	2.114087344	97.42178013206647	1.0	1000	Vertebrates
bfalbia	bfalper	1.057043753	94.456497642115	1.0	1000	Vertebrates
bfalbia	bgalgal	93.330769617	28.0140805892708	0.0	470	Vertebrates
bfalbia	blagmut	93.330769617	32.45405869542475	0.0	961	Vertebrates
bfalbia	bporhoc	32.158924617	28.63731183978101	0.0	455	Vertebrates
bfalbia	daarcminu	1341.483290132	28.66294775945134	0.0	454	Cross-group
bfalbia	dabalnigr	1341.483290132	25.29621164099832	0.0	44	Cross-group
bfalbia	dalinvulg	1341.483290137	25.14802865856047	0.0	19	Cross-group
bfalbia	damisoron	1341.483290137	31.655724070424075	0.0	854	Cross-group
bfalbia	dascugale	1341.483290132	25.57411741415746	0.0	84	Cross-group
bfalbia	dashearve	1341.483290132	30.475507784921465	0.0	973	Cross-group
bfalbia	datanvulg	1341.483290132	25.23256529406608	0.0	31	Cross-group
bfalbia	dcareserp	1341.483290132	25.71956018348514	0.0	88	Cross-group
bfalbia	dcmoetrin	1341.483290132	25.70557725684884	0.0	100	Cross-group
bfalbia	dcpolavic	1341.483290132	26.28217789744753	0.0	163	Cross-group
bfalbia	dcpoltetr	1341.483290132	29.748336344351724	0.0	615	Cross-group
bfalbia	dcspemari	1341.483290132	30.61509852400475	0.0	748	Cross-group
bfalbia	ddarathal	1341.483290135	25.299220075435684	0.0	39	Cross-group
bfalbia	ddbarvulg	1341.483290134	30.989002618608318	0.0	698	Cross-group
bfalbia	ddeuppepu	1341.4832901275	30.713109896514776	0.0	871	Cross-group
bfalbia	ddhotpalu	1341.483290132	28.97843935443336	0.0	568	Cross-group
bfalbia	ddmerannu	1341.4832901275	25.743888274622837	0.0	111	Cross-group
bfalbia	ddpopnigr	1341.4832901324999	34.19499608917792	0.0	941	Cross-group
bfalbia	dhcorcolu	1341.4832901295	31.65672842057108	0.0	904	Cross-group
bfalbia	dhquerobu	1341.4832901344998	31.24281529179568	0.0	955	Cross-group
bfalbia	dmaquvulg	1341.483290127	25.5760804922261	0.0	72	Cross-group
bfalbia	dmbervulg	1341.483290127	27.10266562379581	0.0	274	Cross-group
bfalbia	dmthaminu	1341.483290127	28.54011048939068	0.0	465	Cross-group
bfalbia	drastglyc	1341.4832901344998	26.35326930029645	0.0	155	Cross-group
bfalbia	drchaangu	1341.483290135	32.52788033283395	0.0	928	Cross-group
